"","Article_day","True_Dummy","Likert_Evaluation","Age","Dig_Lit_Avg","Income_Score","CRT_Score","Familiar_Story","Education_Score","Duration","Ideology_Score","Gender","ResponseId","Treatment","Dummy_Ideology","Article_Lean","Dummy_Congruence","Susc_FN","Treat_Search","Article"
"72","dec 10_4",1,7,27,5,0,3,"No",3,777,-1,0,"R_9zUdkJVLi8AEs49",1,"Liberal","Conservative",0,1,1,"4"
"73","dec 10_4",0,5,30,4,2,0,"No",3,2109,-1,0,"R_VXagVOBlUplW9Lb",1,"Liberal","Conservative",0,0,1,"4"
"74","dec 10_4",1,6,24,3.8,1,3,"Yes",2,961,0,0,"R_UchXijG0RudTLWh",1,"Moderate","Conservative",0,1,1,"4"
"75","dec 10_4",0,4,39,4.5,2,2,"No",4,951,0,0,"R_stIaDCCU6BYB8R3",1,"Moderate","Conservative",0,0,1,"4"
"76","dec 10_4",0,4,49,2.6,1,0,"Not Sure",1,582,2,0,"R_3rTcUROgQFJgcA6",1,"Conservative","Conservative",1,0,1,"4"
"77","dec 10_4",0,4,41,4.8,0,0,"Not Sure",1,1502,-3,0,"R_DGE1I22cptQMBTH",1,"Liberal","Conservative",0,0,1,"4"
"78","dec 10_4",1,6,59,1.9,0,0,"Yes",2,1743,0,0,"R_2tL0tT563v4WVCh",1,"Moderate","Conservative",0,1,1,"4"
"79","dec 10_4",1,7,30,4.9,1,0,"No",1,3375,-2,0,"R_3irk5JlPe6aaHIp",1,"Liberal","Conservative",0,1,1,"4"
"80","dec 10_4",1,6,70,4.4,1,3,"Yes",4,1526,1,0,"R_2uUmpFyWPT58pxU",1,"Conservative","Conservative",1,1,1,"4"
"81","dec 10_4",0,3,36,2.2,0,2,"No",3,994,0,1,"R_31pAR05lpJsWwEw",0,"Moderate","Conservative",0,0,0,"4"
"82","dec 10_4",1,6,61,3.4,2,3,"Yes",5,1428,-2,1,"R_1Q5fcSrMawLoKqo",0,"Liberal","Conservative",0,1,0,"4"
"83","dec 10_4",1,5,40,3.4,2,2,"Yes",4,698,2,0,"R_2Y2HAaXbRRtcHN4",0,"Conservative","Conservative",1,1,0,"4"
"84","dec 10_4",0,4,57,3.4,1,0,"Yes",1,747,-2,1,"R_SK7ItPw5vurUV8J",0,"Liberal","Conservative",0,0,0,"4"
"85","dec 10_4",1,5,64,4.2,1,2,"Yes",3,1055,-1,1,"R_ZeLSDNYiLeZkjVD",0,"Liberal","Conservative",0,1,0,"4"
"86","dec 10_4",0,3,40,4.5,0,3,"No",1,2720,0,1,"R_2BsacR3kQXdPWh6",0,"Moderate","Conservative",0,0,0,"4"
