"","Susc_FN","Likert_Evaluation","Education_Score","Age","Gender","Income_Score","Dummy_Congruence","Familiar_Dummy","Duration","Dig_Lit_Avg","Article_day","ResponseId","Treat_Search"
"61",0,4,2,71,"Female",2,0,0,21.5833333333333,2.1,"Jun 10_1","R_OfkB3iMsXqXjV3X",1
"62",1,6,1,24,"Male",1,1,1,25.6,4.1,"Jun 10_1","R_DUi8Q5tir1wuNcl",1
"63",1,6,1,62,"Male",0,1,1,25.15,2.5,"Jun 10_1","R_7V3Yh42JrjYCQBX",1
"64",1,6,1,67,"Male",0,1,1,45.3,5,"Jun 10_1","R_1DPjhQy8xC6pdTO",1
"65",1,6,2,25,"Male",1,0,1,8.06666666666667,4.5,"Jun 10_1","R_3shRo1iZnRFpAjc",1
"66",0,4,2,68,"Male",1,0,0,10.6166666666667,2.2,"Jun 10_1","R_2B9gzZaWBRMK1vi",1
"67",1,7,3,40,"Male",3,0,1,40,3.8,"Jun 10_1","R_3fIQFIxcreorMOq",1
"68",1,5,4,63,"Male",1,1,0,27.1333333333333,3.8,"Jun 10_1","R_3j38ZeGdvDGdZmh",1
"69",0,1,3,41,"Male",3,0,1,11.7,4.8,"Jun 10_1","R_1LHjUE5TjDfTEvu",1
"70",0,4,3,36,"Female",1,0,0,6.05,2.1,"Jun 10_1","R_3CNKV3AxKXzdVrY",1
"71",1,7,3,27,"Female",0,1,0,18.45,2.7,"Jun 10_1","R_3PnPIDgvBKKqiQy",1
"72",0,4,1,18,"Female",0,0,0,23.9,3.1,"Jun 10_1","R_YXk30W4BeTBtByp",1
"73",1,6,3,36,"Female",3,1,0,6.78333333333333,4.6,"Jun 10_1","R_1KvCgz07XZwjNjE",1
"74",0,3,3,35,"Female",2,0,0,60,3.8,"Jun 10_1","R_10OdTei5GBHdMmk",1
"75",1,7,4,45,"Female",0,1,0,53.6333333333333,3.8,"Jun 10_1","R_2AHjwSqxvbfWYqg",1
"76",0,4,3,35,"Female",1,0,0,13.6833333333333,2.4,"Jun 10_1","R_1gGhVPQKJ5g2PBP",1
"77",0,4,2,36,"Female",2,0,0,15.6,4.6,"Jun 10_1","R_2q3fO1QOmtw4NIn",1
"78",0,4,2,46,"Female",0,1,0,60,3,"Jun 10_1","R_3m8Xoz7qFWBFLU8",1
"79",1,5,4,41,"Female",2,0,0,23.9,3.7,"Jun 10_1","R_1Ed3ASpawEbs1bg",1
"80",0,4,1,45,"Female",0,1,1,19.45,4.2,"Jun 10_1","R_23WdzdMt9h5ufti",1
"81",0,4,2,66,"Female",1,0,0,17.2,1.5,"Jun 10_3","R_2RQjWBPP2L9PCX7",1
"82",0,4,4,34,"Female",0,1,1,7.9,3.5,"Jun 10_3","R_bQpLHy1jE3Y97UJ",1
"83",1,5,2,50,"Female",0,0,0,18.4833333333333,1.7,"Jun 10_3","R_VQk4pfUpICgx6nf",1
"84",0,1,1,58,"Female",1,0,1,20.15,4.6,"Jun 10_3","R_XnYSUMsRqcpuzMB",1
"85",0,4,3,26,"Male",1,0,0,11.5666666666667,2.4,"Jun 10_3","R_1lyE4s653hURJMN",1
"86",1,6,2,25,"Male",1,0,0,11.15,3.9,"Jun 10_3","R_2DTTz3RIPKAZ9Zi",1
"87",1,7,5,39,"Male",3,0,1,21.3,4.6,"Jun 10_3","R_1r00pMlftmCnNdS",1
"88",0,2,4,74,"Female",1,0,0,36.3666666666667,3.6,"Jun 10_3","R_2t4hr6RB8aK6g6Q",1
"89",1,6,1,39,"Female",0,1,0,20.2833333333333,2.8,"Jun 10_3","R_0BznfS2dAmc9FU5",1
"90",1,7,3,40,"Male",2,0,1,45.15,5,"Jun 10_3","R_1j7iB6lvsAfvyAR",1
"91",0,4,1,26,"Male",0,NA,0,9.38333333333333,3,"Jun 10_3","R_2q3mJY76qYEeEZE",1
"92",1,6,1,62,"Female",0,0,1,11.3833333333333,4,"Jun 10_3","R_2zhGyA5s89YMHBL",1
"93",0,1,3,50,"Female",0,0,0,12.6,4.6,"Jun 10_3","R_21cxUu5E2e0CiBr",1
"94",0,3,4,71,"Male",1,0,1,39.5666666666667,4.7,"Jun 10_3","R_10HkoYCQ3c0fIYy",1
"95",0,5,1,67,"Male",1,1,1,21.95,5,"Jun 10_3","R_eeyCzA8RHelVngJ",1
"96",1,6,3,72,"Male",1,1,1,18.6666666666667,4.5,"Jun 10_3","R_SNw6KCtfaoqcyUp",1
"97",1,6,2,69,"Male",1,0,1,22.3333333333333,4.5,"Jun 10_3","R_1o5ayvnsqOJe1DS",1
"98",1,7,4,40,"Male",2,1,1,14.85,4.4,"Jun 10_3","R_1ddbVPxKyaEGVag",1
"99",1,6,3,82,"Male",3,1,1,60,2.1,"Jun 10_3","R_2zGR9mPFXMf2e8k",1
"100",0,2,4,68,"Male",0,0,1,35.2166666666667,2.7,"Jun 10_3","R_pQUewQ6gn2jkBZ7",1
"101",1,6,3,37,"Male",1,0,0,54.0833333333333,4.2,"Jun 10_3","R_2pQ3z7bEvan2r5k",1
"102",0,4,3,67,"Male",2,0,0,21.3166666666667,4.1,"Jun 10_3","R_3OqBnRKBKX8AWtj",1
"103",1,6,1,30,"Male",0,0,0,14.4833333333333,4.5,"Jun 10_3","R_25sycceSSnGb58K",1
"104",1,5,2,59,"Male",0,0,0,20.8333333333333,3.5,"Jun 10_3","R_OIiFirfGPf1cvGV",1
"105",1,7,1,19,"Female",2,0,0,15.1666666666667,3,"Jun 10_3","R_1Q58YdUpjMHtWQD",1
"106",1,7,2,47,"Other",0,1,0,29.7166666666667,4,"Jun 10_3","R_1gjpGgTCO8zYaPH",1
"107",1,6,0,18,"Female",0,0,1,23.3666666666667,3.5,"Jun 10_3","R_2QK6A64Luxf9dDu",1
"108",0,7,4,39,"Male",3,0,0,16.0166666666667,3.6,"Jun 15_3","R_6kZcghLrrmPp7yN",1
"109",0,1,0,68,"Female",0,0,0,24.8333333333333,2.1,"Jun 15_3","R_24FWA34ndmONE5E",1
"110",1,6,5,41,"Male",3,0,1,27.25,4,"Jun 15_3","R_1hzijqmh6N7g8Vy",1
"111",0,2,1,25,"Female",0,0,0,15.7,3.3,"Jun 15_3","R_3Rr6CsRkCmbBs5b",1
"112",0,3,3,44,"Female",3,0,0,15.6333333333333,3.1,"Jun 15_3","R_2xKMErsRYaTKpyh",1
"113",1,7,4,30,"Male",2,0,1,60,3.9,"Jun 15_3","R_10PiVE2TjyE3yLY",1
"114",1,4,4,65,"Female",0,0,0,60,2.9,"Jun 15_3","R_Dvo0EMpfgPn7kQN",1
"115",0,4,3,57,"Male",0,0,0,17.55,3.5,"Jun 15_3","R_3gZubr2CuYOgi8O",1
"116",0,4,3,82,"Male",1,0,0,20.5666666666667,2.5,"Jun 15_3","R_2WPtl8vw4bSSydJ",1
"117",0,5,5,44,"Female",1,NA,0,22.95,3.8,"Jun 15_3","R_1LT0mHNzFM8pyox",1
"118",1,7,4,60,"Male",1,0,0,8.03333333333333,3.8,"Jun 15_3","R_yPxwUTAMzV1egRr",1
"119",0,4,0,62,"Male",0,0,0,34.6166666666667,1.5,"Jun 15_3","R_3LdOFeMvr4fFU3w",1
"120",0,2,3,25,"Male",0,0,0,26.2166666666667,3.4,"Jun 15_3","R_1INneo0p3CBqQoU",1
"121",0,4,1,65,"Male",0,0,0,35.3666666666667,3.3,"Jun 15_3","R_2xFC1JYVmdyoAuH",1
"122",1,5,3,63,"Male",2,0,0,23.3,3.3,"Jun 15_3","R_UcMKuOWRXYS4kO5",1
"123",0,3,4,75,"Male",3,0,0,23.8,3.8,"Jun 15_3","R_1BWTUqr8FtB9EY8",1
"124",1,5,3,38,"Male",2,0,0,24.1333333333333,4.7,"Jun 15_3","R_1l3q1I81Scco6uS",1
"125",1,6,3,60,"Male",0,0,0,17.95,4.9,"Jun 15_3","R_2BzEjjaC6N7FNIu",1
"126",1,6,1,64,"Male",0,0,1,39.4666666666667,3.7,"Jun 15_3","R_2WBZwBP6PGvOck9",1
"127",1,5,4,55,"Male",1,0,0,13.4666666666667,3.6,"Jun 15_3","R_2YEzOJgqkT4CYaq",1
"128",0,5,1,30,"Female",3,0,1,10.95,4.5,"Jun 15_3","R_3HYYoor4iA7uhoQ",1
"129",0,4,1,33,"Female",1,0,0,18.1666666666667,1.8,"Jun 15_3","R_TplFcRPMeKtIEYp",1
"130",0,5,3,21,"Female",3,0,0,23.7166666666667,4.1,"Jun 15_3","R_3L6BKdwY217LW03",1
"131",0,4,2,46,"Female",2,0,1,48.8166666666667,4.6,"Jun 15_3","R_2odXhMZbrsKbJip",1
"132",1,5,2,44,"Female",1,0,1,17.2833333333333,5,"Jun 15_3","R_1INqJHBiJsSewxl",1
"133",0,3,3,66,"Male",2,0,0,12.3166666666667,1.6,"Jun 22_3","R_12AbOmHcSLCSoRF",1
"134",0,2,2,71,"Male",0,0,1,25.8833333333333,2.6,"Jun 22_3","R_31gEc8Grp9nG4Em",1
"135",0,3,2,79,"Male",1,0,0,41.0666666666667,4.4,"Jun 22_3","R_2YEdXJu4fobQd65",1
"136",0,3,1,22,"Male",1,0,0,9.66666666666667,3,"Jun 22_3","R_xEhFJPtWHYaWB3j",1
"137",0,4,1,18,"Male",0,NA,0,10.7166666666667,3.5,"Jun 22_3","R_80um6mVPfnAFMT7",1
"138",1,7,5,35,"Male",3,0,0,15.3,4.5,"Jun 22_3","R_11hZIh3IbWquCW4",1
"139",1,7,4,41,"Male",3,0,0,28.1833333333333,4.6,"Jun 22_3","R_3ehlIHdqAUcWao9",1
"140",0,3,2,53,"Male",2,0,0,8.63333333333333,4.7,"Jun 22_3","R_30059xsIalwMoB1",1
"141",0,1,4,72,"Male",1,0,0,24.1666666666667,3.7,"Jun 22_3","R_2aPmC7YsaSzR8vU",1
"142",1,7,4,45,"Male",3,0,0,37.8666666666667,3.4,"Jun 22_3","R_DAi0lextAZvAqul",1
"143",0,4,1,47,"Male",0,0,0,24.05,3.6,"Jun 22_3","R_115fCkCrp7DHJOx",1
"144",0,4,3,70,"Male",1,0,0,13.9,4.1,"Jun 22_3","R_2BgpbCdG9hZU6x6",1
"145",0,2,4,30,"Male",3,0,0,26.8,4.6,"Jun 22_3","R_2y8YDg02ze3WwAM",1
"146",1,6,1,57,"Female",0,0,1,19.25,2.2,"Jun 22_3","R_DvMlnf1XN7FpFlf",1
"147",0,4,1,69,"Male",0,0,0,21.7,5,"Jun 22_3","R_1pzF8Vcu8ntAe0H",1
"148",0,1,2,72,"Male",1,0,0,23.3,3.2,"Jun 22_3","R_2qdDVjuwi7lqZGc",1
"149",0,3,3,64,"Male",1,0,0,25.7666666666667,2.4,"Jun 22_3","R_cu6Dan95a1gV997",1
"150",0,4,3,32,"Male",3,0,0,14.3166666666667,4,"Jun 22_3","R_pbL0OPzvXfUf5AZ",1
"151",0,2,2,45,"Male",1,0,0,19.2333333333333,3.4,"Jun 22_3","R_1CxvR78Bt8gYWQK",1
"152",0,4,4,58,"Female",1,0,0,10.6666666666667,4.4,"Jun 22_3","R_3e2Efv033f8SWT3",1
"153",0,1,3,53,"Female",1,0,0,23.7333333333333,4.1,"Jun 22_3","R_2U8YFNCYlHeWwWq",1
"154",0,4,3,22,"Female",0,0,0,21.8666666666667,3.9,"Jun 22_3","R_1FOLhNxExeROkPf",1
"155",0,4,2,50,"Female",1,0,0,15.4833333333333,3.7,"Jun 22_3","R_vjWT4I1cCQa1ExX",1
"156",0,4,0,60,"Female",0,0,0,19.5166666666667,2.6,"Jun 22_3","R_25AVxOTUcmBrvwd",1
"157",0,4,2,51,"Female",0,0,0,15.2833333333333,2.8,"Jun 22_3","R_1N3Ut25FQPHnmlg",1
"158",0,1,2,40,"Female",0,0,0,26.7,2.8,"Jun 22_3","R_UaxKmz3ySOqzZ73",1
"159",0,5,1,19,"Female",1,0,0,11.2333333333333,3.9,"Jun 22_3","R_1QxwPOY6mHCAXLX",1
"160",0,5,2,77,"Female",0,0,0,12.5333333333333,4.6,"Jun 22_3","R_2rOz7nIUNPWtm49",1
"161",1,4,1,20,"Female",0,0,0,9.93333333333333,4.1,"Jun 22_3","R_bqMIqvBTFKUwkeZ",1
"162",1,4,2,35,"Female",2,0,0,10.3833333333333,4.2,"Jun 22_3","R_eEdC4G5GQYO5aAp",1
"163",0,4,1,81,"Female",0,0,0,43.1,2.7,"Jun 22_3","R_3R2ig0MNSDElciP",1
"164",1,7,1,64,"Female",0,0,0,35.1333333333333,3.4,"Jun 22_3","R_28CyCzTzJoqvyVq",1
"165",0,1,3,29,"Female",1,0,0,18.0166666666667,3.8,"Jun 22_3","R_3EtDD5tOObdTBo2",1
"166",0,2,1,80,"Female",3,0,0,20.5333333333333,4.1,"Jun 22_3","R_3MsXsRUydtNgdKe",1
"167",0,1,1,32,"Female",1,0,0,23.6333333333333,4.8,"Jun 22_3","R_PTCZpIwWgVQSfnP",1
"168",0,3,4,34,"Female",2,0,0,26.3,4.5,"Jun 22_3","R_2DZihgUgRHdEBfp",1
"169",1,5,3,38,"Female",2,0,0,26.7833333333333,3.6,"Jun 22_3","R_2bNbDuBuT9JDYxS",1
"170",0,1,3,50,"Female",1,0,0,30.0166666666667,2.7,"Jun 22_3","R_3eeorMj3UcwRHtN",1
"171",0,4,1,18,"Female",0,0,0,9.16666666666667,2.8,"Jun 22_3","R_1QxRC19eS6CPexi",1
"172",0,7,1,28,"Female",0,NA,0,8.53333333333333,3.1,"Jun 22_3","R_sGYKcyuBDSUIOJz",1
"173",0,4,1,34,"Female",0,0,0,10.4333333333333,2.7,"Jun 22_3","R_BYci0j9tytIX9ND",1
"174",1,4,1,34,"Female",0,0,0,60,2.8,"Jun 22_3","R_3kM1gHJiqK8fAvM",1
"175",0,3,0,28,"Female",1,0,0,20.1333333333333,2.9,"Jun 22_3","R_1LSeEfhxoEYpIfe",1
"176",0,5,2,43,"Female",0,1,0,10.6,4.4,"Jun 3_1","R_2rNQxLmMyMzXGEs",1
"177",0,3,3,35,"Female",0,0,1,29.2,4.6,"Jun 3_1","R_RJfCGZPEUygwxhf",1
"178",0,4,2,25,"Female",0,0,0,7.18333333333333,3.3,"Jun 3_1","R_2z5CFjhlh9mf996",1
"179",1,4,3,29,"Female",0,1,0,23.5,3.7,"Jun 3_1","R_2w1ghEfa7uWFZLy",1
"180",0,3,4,69,"Male",2,0,1,45.6666666666667,2,"Jun 3_1","R_1LGcSjpK3dHWHQ8",1
"181",1,7,1,67,"Female",0,1,1,56.1,4.6,"Jun 3_1","R_2dATQ1miAbCBgn5",1
"182",1,7,1,58,"Female",1,1,0,45.85,4.9,"Jun 3_1","R_3hA9QxiYUV4jTjJ",1
"183",1,7,3,67,"Female",0,0,0,29.2166666666667,4,"Jun 3_1","R_2tJ4RiUsTNGtxr7",1
"184",0,1,1,65,"Female",0,1,0,37.2166666666667,3.7,"Jun 3_1","R_1CruVbyz22SCZvn",1
"185",1,7,4,34,"Male",1,0,0,23.5,5,"Jun 3_1","R_3kcwKfvs12RVmj3",1
"186",1,6,2,20,"Male",1,NA,0,60,4.4,"Jun 3_1","R_10rt15OLib0Xubw",1
"187",1,7,1,58,"Male",0,1,1,23.35,3.4,"Jun 3_1","R_30ixbOEtEXWNm0U",1
"188",1,6,4,67,"Male",1,0,1,29.5,3.1,"Jun 3_1","R_1C1MxVZymHzXSHm",1
"189",0,4,4,36,"Male",1,1,0,9.93333333333333,3.1,"Jun 3_1","R_vqzygVO3irlus01",1
"190",0,3,1,22,"Male",0,0,0,20.2333333333333,4,"Jun 3_1","R_dosCyZJMNLxfddv",1
"191",0,4,3,22,"Male",1,0,0,16.0333333333333,4.3,"Jun 3_1","R_1DP80ERtos2o3hc",1
"192",0,4,1,44,"Male",0,0,0,8.06666666666667,1,"Jun 3_1","R_37VjELHESrOxZ9n",1
"193",1,7,5,27,"Male",3,1,1,39.5333333333333,5,"Jun 3_1","R_20YfIMBTYFuD2Ax",1
"194",0,1,5,30,"Male",2,0,0,15.4,4.1,"Jun 3_1","R_2zI80AzqiujVs5P",1
"195",1,7,3,68,"Male",2,1,1,43.5333333333333,3.2,"Jun 3_1","R_3NJ0UeFZntpkNrI",1
"196",0,5,1,75,"Female",1,1,1,60,4.2,"Jun 3_1","R_AcU7VipH0bFbHLb",1
"197",1,6,4,71,"Male",2,0,1,60,3.6,"Jun 3_1","R_39i2XnllVO9Ac9z",1
"198",0,1,1,32,"Male",0,1,0,16.7833333333333,3.7,"Jun 3_1","R_cBz0FgFaPFSpPe9",1
"199",0,2,4,70,"Male",2,0,1,20.45,3.4,"Jun 3_1","R_2VybvlnGvi9DesF",1
"200",1,6,3,67,"Female",1,0,0,60,2.8,"Jun 3_1","R_3CHIujTrAOvgKuI",1
"201",1,7,2,50,"Male",1,0,0,13.9666666666667,5,"Jun 3_1","R_7OnTwB3Qgq6F3LH",1
"202",0,3,2,20,"Male",0,1,0,35.8666666666667,3.7,"Jun 3_1","R_CmimzfCTjLOsbf3",1
"203",0,1,2,21,"Male",0,1,0,12.6666666666667,3.8,"Jun 3_1","R_UFaaJmkgP3ygEMN",1
"204",0,4,1,60,"Male",0,1,0,47.6,2.6,"Jun 3_1","R_1EWfroGKcMBjncC",1
"205",0,2,3,22,"Male",0,0,0,40.8666666666667,4.7,"Jun 3_1","R_2zZNXunTKdyJ4Pk",1
"206",0,4,1,59,"Male",1,NA,0,18.1166666666667,2.7,"Jun 3_1","R_5dq3XEaAMR9xZYd",1
"207",0,1,3,59,"Female",1,0,1,22.4333333333333,3.3,"Jun 3_1","R_2cw8NkCNGvdqKMm",1
"208",0,1,3,37,"Female",1,0,0,12.1833333333333,4.5,"Jun 3_1","R_27P4DtHOq4iWrsy",1
"209",1,7,1,40,"Female",1,0,0,15.9,4,"Jun 3_1","R_3oBfzSDCIodDkZX",1
"210",1,7,4,46,"Female",2,0,0,50.35,4.3,"Jun 3_1","R_31arrDLGuvoXAlI",1
"211",0,3,3,35,"Female",1,0,0,43.4333333333333,3.6,"Jun 3_1","R_3Leg7eNFgaKlRcf",1
"212",0,3,3,37,"Female",0,0,0,52.8,4.3,"Jun 3_1","R_7WchCm6zEBSZyDv",1
"213",0,4,3,21,"Female",0,0,0,24.9,4.5,"Jun 3_3","R_12JC8j3kkjHStYz",1
"214",0,4,1,34,"Female",0,0,0,14.3166666666667,3.2,"Jun 3_3","R_3oKQqcHY684Lmg5",1
"215",1,7,3,40,"Female",0,0,0,27.5,4.5,"Jun 3_3","R_3EVTiRrnEOMlNeV",1
"216",0,4,3,78,"Female",2,0,1,41.5666666666667,4.1,"Jun 3_3","R_5vGHPmhF5v7jfah",1
"217",1,4,1,19,"Female",1,0,0,11.8333333333333,4.7,"Jun 3_3","R_2S1RHOxibaJ338V",1
"218",0,2,3,62,"Female",3,1,0,60,3.1,"Jun 3_3","R_3iPAT62rCYmE0ul",1
"219",0,5,4,39,"Male",1,0,0,11.85,4.8,"Jun 3_3","R_2QWZTN8CnrWFVLZ",1
"220",0,1,1,62,"Female",0,0,0,23.6333333333333,2.7,"Jun 3_3","R_1OZD11UzoJSCKra",1
"221",0,2,4,66,"Male",2,1,0,19.45,4.1,"Jun 3_3","R_1LoFGHcX2LmSuxu",1
"222",1,7,5,42,"Male",3,0,0,26.2166666666667,4.9,"Jun 3_3","R_2tmXrGeLb5CpwPF",1
"223",0,4,1,32,"Female",1,1,0,20.0333333333333,4.4,"Jun 3_3","R_3kvlQB3D4Xp4Ptj",1
"224",1,5,1,18,"Male",0,1,0,11.4,3.1,"Jun 3_3","R_3MG3cFQmej8Zqdu",1
"225",1,7,1,51,"Female",0,1,0,30.1333333333333,4,"Jun 3_3","R_231PMidlmZFMAeO",1
"226",0,3,3,57,"Female",0,1,1,60,3.4,"Jun 3_3","R_21uOEJTwYzosgBw",1
"227",1,6,2,55,"Male",0,0,0,30.6166666666667,3.5,"Jun 3_3","R_2wAD4bULtySCDJ9",1
"228",0,5,3,29,"Male",0,1,0,18.2333333333333,3.1,"Jun 3_3","R_3HCcgtwPiBDpNp6",1
"229",0,2,2,67,"Male",0,0,0,51.25,3,"Jun 3_3","R_u1GZ1czox9wu4lr",1
"230",0,2,3,20,"Male",3,0,0,60,4.2,"Jun 3_3","R_2e3TvX7gv3Az17C",1
