"","T_Dummy","Ordinal_4","Ordinal_7","Treatment_1","Treatment_2","Treatment_3","Age","Ideo_Congruence","Education_Score","Q_Gender","Income_Score","Article_day","ResponseId","Article_Num","Final_FC"
"162",0,1,1,0,0,1,72,0,2,0,0,"Day1_3","R_2fJXIcDZzrKrSXN","3","FM"
"163",0,1,1,0,0,0,61,0,3,0,1,"Day1_3","R_2PziTIft01RdayA","3","FM"
"164",0,2,4,1,0,0,47,0,2,0,0,"Day1_3","R_3JqMDuenaJbw0Z2","3","FM"
"165",0,1,1,1,0,0,71,0,1,1,0,"Day1_3","R_279erVDGEqezsHY","3","FM"
"166",0,1,1,0,0,1,48,0,2,0,0,"Day1_3","R_3oSh2d9nHuEVbWC","3","FM"
"167",1,4,7,1,0,0,73,0,3,0,2,"Day1_3","R_2EcxSsXe5DUYJg2","3","FM"
"168",0,2,3,0,0,0,74,0,2,0,0,"Day1_3","R_3e2jmNTtaluq1a1","3","FM"
"169",0,2,3,0,1,0,57,0,3,1,0,"Day1_3","R_278B3XnUAmbCjZv","3","FM"
"170",0,1,1,0,0,1,46,0,3,0,1,"Day1_3","R_2SwVucazJO3Xa3L","3","FM"
"171",1,2,6,1,0,0,77,0,2,0,1,"Day1_3","R_1HbJdgheGFuwOA8","3","FM"
"172",0,1,1,0,1,0,73,0,2,0,3,"Day1_3","R_3J8Xab6waGw9eIG","3","FM"
"173",0,1,1,0,0,1,62,0,3,0,0,"Day1_3","R_eDam6wiTZBas3iV","3","FM"
"174",0,3,6,1,0,0,42,0,3,0,2,"Day1_3","R_2qCPCTlrfcBp4EP","3","FM"
"175",0,3,4,0,0,0,79,0,3,0,0,"Day1_3","R_vjDzPmToUvC6GY1","3","FM"
"176",0,2,2,1,0,0,58,0,2,0,3,"Day1_3","R_1KoQ4eqlHmXoSij","3","FM"
"177",0,2,4,0,0,0,77,0,0,0,0,"Day1_3","R_XhRXFwutJAZLXcl","3","FM"
"178",0,2,4,0,0,1,26,0,2,0,0,"Day1_3","R_1F2llRz6YfZhyFY","3","FM"
"179",0,2,2,0,0,1,48,0,4,0,1,"Day1_3","R_1gpFXhJRJTls2uA","3","FM"
