"","X1","Susc_FN","Evaluation","Likert_Evaluation","Education_Score","Age","Gender","Income_Score","Dummy_Congruence","Familiar_Dummy","Duration","Dig_Lit_Avg","Article_day","ResponseId","Ideology_Score","Treat_Search","True_Dummy","Article"
"106","106","1","True",7,2,49,1,1,0,"0","35.5666666666667","3.6","Jun 10_4","R_3ezANJdEUT6MZ5O","0",1,1,"4"
"107","107","1","True",6,5,67,0,2,0,"0","13.1666666666667","3.3","Jun 10_5","R_11d4Z3Vu5sZEeed","0",1,1,"5"
"108","108","1","True",6,3,55,0,3,0,"0","28.6333333333333","4.5","Jun 10_5","R_w810LD36BoVMXWF","2",1,1,"5"
"109","109","0","CND",4,2,51,1,0,0,"0","11.2333333333333","3","Jun 10_5","R_2f0u5Ymr3ATIVPk","0",1,0,"5"
"110","110","1","True",6,4,51,1,1,0,"0","12.25","3.7","Jun 10_5","R_2pKRsBWEuOlIpy0","0",1,1,"5"
"111","111","1","True",4,2,27,0,0,0,"0","14.9","3.5","Jun 10_5","R_2Cs5JZBxX3pm2ym","0",1,1,"5"
"112","112","1","True",7,3,31,0,2,0,"1","14.35","5","Jun 10_5","R_WwbsTtUgXaC8qGZ","-2",1,1,"5"
"113","113","0","Misl/False",4,2,66,0,0,0,"1","12.6333333333333","2.1","Jun 10_5","R_005XxEohuDdbwXf","0",1,0,"5"
"114","114","1","True",5,3,30,0,3,0,"1","20.9333333333333","4.4","Jun 10_5","R_pQbGhXLSDA3Q3LP","2",1,1,"5"
"115","115","1","True",7,1,49,0,0,0,"0","15.7333333333333","3.2","Jun 10_5","R_2BrNAQ9UvK3rTum","-2",1,1,"5"
"116","116","1","True",5,3,47,1,1,0,"0","12.7333333333333","3.8","Jun 10_5","R_2X7fApurzOs5swN","0",1,1,"5"
"117","117","1","True",6,4,68,1,0,0,"1","22.75","4","Jun 10_5","R_6F4OTpviHpIDUuB","-2",1,1,"5"
"118","118","1","True",6,3,73,1,1,0,"0","25.2833333333333","2.4","Jun 10_5","R_3gTtyYOSFPEWr2K","-2",1,1,"5"
"119","119","1","True",6,3,70,0,1,0,"0","47.3833333333333","4.7","Jun 10_5","R_bxehogX48mMfRZf","3",1,1,"5"
"120","120","1","True",6,3,25,0,1,0,"0","30.5333333333333","3.6","Jun 10_5","R_2YoeSw4bppp2ySk","3",1,1,"5"
"121","121","1","True",6,4,38,0,2,0,"0","14.0333333333333","4.6","Jun 10_5","R_zVb0cYnpPrSWdwd","1",1,1,"5"
"122","122","1","True",6,3,40,0,0,0,"0","36.3","4.1","Jun 10_5","R_1mgsCSfRfqwSpgH","0",1,1,"5"
"123","123","1","True",5,4,25,0,2,0,"0","6.1","3.7","Jun 10_5","R_1qamqr6WF8bQsuu","1",1,1,"5"
"124","124","1","True",5,3,28,0,2,0,"1","20.8833333333333","3.4","Jun 10_5","R_1GZ9auLaxxudRcx","-1",1,1,"5"
"125","125","1","True",7,3,63,0,1,0,"0","34.2166666666667","4.6","Jun 10_5","R_3j8L8FcKeAu4ytD","-1",1,1,"5"
"126","126","1","True",5,2,67,0,2,0,"0","60","2.6","Jun 10_5","R_2xCLNq800AaFrwu","0",1,1,"5"
"127","127","1","True",7,1,44,0,0,0,"0","16.3166666666667","3.8","Jun 10_5","R_110fdpggGOo3WvN","-1",1,1,"5"
"128","128","0","CND",4,4,36,0,1,0,"0","9.55","4.5","Jun 10_5","R_ZkQ534uhHwGJWJH","-3",1,0,"5"
"129","129","1","True",5,4,40,1,0,0,"0","20.0833333333333","4.3","Jun 10_5","R_3nkGLghUMe3hQHh","0",1,1,"5"
"130","130","1","True",6,1,20,1,0,NA,"0","28.0833333333333","3.1","Jun 10_5","R_3Q7klT9Q5vYWt2N",NA,1,1,"5"
"131","131","1","True",5,3,25,1,1,0,"0","9.7","3.9","Jun 10_5","R_OmcSrZRDIjaYCRz","0",1,1,"5"
"132","132","0","CND",7,3,32,1,1,0,"0","27.6","4.6","Jun 10_5","R_27KH2BJBl09t5tZ","0",1,0,"5"
"133","133","0","Misl/False",4,3,46,1,2,0,"0","53.1333333333333","3.2","Jun 10_5","R_3oXep5ZBNxnFcHY","1",1,0,"5"
"134","134","0","CND",7,1,28,1,0,0,"0","9.33333333333333","3.2","Jun 10_5","R_29amoRm4kx2pbEU","0",1,0,"5"
