"","ResponseId","Article_day","True_Dummy","Treat_Search","Age","Dummy_Congruence","Education_Score","Gender","Income_Score","Dig_Lit_Avg","Article","X","Search_Online"
"99","R_1etTh1LwM1SvYzW","jan 7_1",0,0,49,0,3,1,2,"5","1",12846,0
"100","R_1etTh1LwM1SvYzW","jan 7_3",0,0,49,0,3,1,2,"5","3",7774,0
"101","R_1eVtTsY1fTIo5tA","dec 3_3",0,0,74,0,3,0,2,"3.9","3",818,0
"102","R_1ewL71kqfS4skYA","dec 5_3",0,0,62,0,2,0,2,"4.2","3",6159,0
"103","R_1eWqOsgp38M33dr","dec 5_1",1,0,77,1,2,0,0,"3.7","1",11250,0
"104","R_1eWqOsgp38M33dr","dec 5_2",1,0,77,0,2,0,0,"3.7","2",6178,0
"105","R_1F2DWE7C1b2JMbZ","jan 6_3",1,0,28,0,2,0,2,"4.6","3",2450,1
"106","R_1F2soRKXkrj2P59","nov 21_2",0,0,38,0,4,1,3,"3","2",10623,0
"107","R_1f7qJf6u7rQtSHM","dec 9_2",0,0,29,0,1,0,1,"4.3","2",1325,1
"108","R_1f7qJf6u7rQtSHM","dec 9_3",1,0,29,1,1,0,1,"4.3","3",6397,1
"109","R_1FCzwyuo4g86pVs","nov 21_2",0,0,46,0,2,1,1,"3.8","2",5670,0
"110","R_1fddykl9ynCug0s","jan 7_1",1,0,53,0,3,0,0,"4.1","1",2627,0
"111","R_1FDNzdu2MDjrJe2","jan 7_2",0,0,57,NA,1,1,0,"1","2",7750,0
"112","R_1ff6syPnxp2xtTV","dec 9_2",1,0,38,1,1,1,0,"3.4","2",1305,0
"113","R_1ff6syPnxp2xtTV","dec 9_3",0,0,38,0,1,1,0,"3.4","3",11449,0
"114","R_1FfZmL1Q5adRWJb","dec 9_2",1,0,47,0,3,0,1,"3.5","2",11420,0
"115","R_1FJOOlC19DTKbCR","dec 11_2",0,0,46,1,1,0,0,"1.9","2",11656,0
"116","R_1Fmv1cSsV5y24ZV","dec 9_2",1,0,59,0,1,0,0,"2.7","2",1204,0
"117","R_1Fmv1cSsV5y24ZV","dec 9_3",1,0,59,0,1,0,0,"2.7","3",6276,0
"118","R_1FQzNtDhPV3x2pv","dec 9_3",1,0,60,0,3,0,1,"5","3",1245,0
"119","R_1FS3D9kyONkeetI","jan 6_2",1,0,62,1,1,1,0,"3.6","2",2525,0
"120","R_1FS3D9kyONkeetI","jan 6_3",0,0,62,0,1,1,0,"3.6","3",12669,0
"121","R_1Fsq7VvcJFRHg5V","dec 5_2",1,0,28,0,2,1,0,"3.8","2",11294,0
"122","R_1Fsq7VvcJFRHg5V","dec 5_3",1,0,28,0,2,1,0,"3.8","3",6222,0
"123","R_1FsRcTSfxXFFhjw","dec 9_1",0,0,42,1,3,1,1,"4.2","1",1304,0
"124","R_1FsRcTSfxXFFhjw","dec 9_3",0,0,42,1,3,1,1,"4.2","3",11448,0
"125","R_1fZeuCozvSeIVoI","dec 10_3",1,0,30,0,3,0,1,"4.8","3",11523,0
"126","R_1gcleldFVNEx6lC","dec 5_1",1,0,45,1,3,0,3,"2.4","1",1135,0
"127","R_1GDhD1KeNtSEl2a","jan 7_1",0,0,52,NA,1,1,0,"2.6","1",2617,0
"128","R_1GDhD1KeNtSEl2a","jan 7_3",1,0,52,NA,1,1,0,"2.6","3",12761,0
"129","R_1gFRNIMBiVwkWnC","dec 11_2",0,0,30,NA,3,1,0,"4.5","2",1589,0
"130","R_1GHAcetyruJEJxX","dec 9_1",0,0,49,0,3,0,0,"4.5","1",11409,0
"131","R_1GHAcetyruJEJxX","dec 9_3",0,0,49,0,3,0,0,"4.5","3",6337,0
"132","R_1gHIeqQogzu5blS","dec 9_2",0,0,65,0,1,0,2,"3.9","2",11371,0
