"","ResponseId","Day","Article_Num","Category","Seven_Ordinal","Four_Ordinal","Age","Gender","FC_False","FC_True","FC_CND","Education_Score","Income_Score","Q_Ideology","Dig_Lit_Score","Ideology_Score","True_Dummy","Article_day","FC_Eval","Treatment"
"68","R_3ezsba9muO8vbFv","Day_1","1","Misl",1,1,25,0,4,1,0,4,4,"Extremely Liberal",66,-3,0,"Day_1_1","FM",0
"69","R_3fN1yaQLQyQ4K3U","Day_1","5","True",7,4,34,1,0,5,0,4,1,"Moderate: Middle of the road",42,0,1,"Day_1_5","True",0
"70","R_3gTbPk6cj8CguwO","Day_1","3","True",5,3,36,0,3,0,2,3,1,"Conservative",63,2,1,"Day_1_3","FM",0
"71","R_3HLER1xd2xdblTA","Day_1","3","True",6,4,53,1,3,0,2,2,2,"Liberal",58,-2,1,"Day_1_3","FM",0
"72","R_3I4XfQnYB0IEkNZ","Day_1","4","Misl",7,1,27,1,4,1,0,4,3,"Liberal",40,-2,0,"Day_1_4","FM",0
"73","R_3jcHGUIE2balYmO","Day_1","4","Coul",3,2,40,1,4,1,0,2,1,"Slightly Conservative",55,1,0,"Day_1_4","FM",0
"74","R_3JxTg6zHgt6JMLN","Day_1","5","True",6,3,30,0,0,5,0,4,1,"Slightly Conservative",41,1,1,"Day_1_5","True",0
"75","R_3Kwj6A2aBFbRYDJ","Day_1","1","Coul",4,3,41,0,4,1,0,3,1,"Moderate: Middle of the road",49,0,0,"Day_1_1","FM",0
"76","R_3lud9cKSaIihlMi","Day_1","2","Coul",4,2,36,1,0,5,0,4,3,"Slightly Conservative",65,1,0,"Day_1_2","True",0
"77","R_3lzvqhmsACeCOTx","Day_1","2","Misl",6,1,60,1,0,5,0,1,1,"Conservative",41,2,0,"Day_1_2","True",0
"78","R_3n0i6n1NNgrVPRP","Day_1","4","True",7,4,34,1,4,1,0,4,1,"Liberal",48,-2,1,"Day_1_4","FM",0
"79","R_3png4HpyErO9r8B","Day_1","5","True",6,4,60,1,0,5,0,4,1,"Slightly Conservative",53,1,1,"Day_1_5","True",0
"80","R_3QXDW8eZ7d73oor","Day_1","1","Misl",3,2,25,0,4,1,0,5,2,"Slightly Liberal",40,-1,0,"Day_1_1","FM",0
"81","R_3QYupCANSk9IRmF","Day_1","3","Coul",4,2,30,1,3,0,2,2,2,"Moderate: Middle of the road",54,0,0,"Day_1_3","FM",0
"82","R_3rMJTpw2eyXi87h","Day_1","5","True",7,4,30,1,0,5,0,4,2,"Slightly Liberal",66,-1,1,"Day_1_5","True",0
"83","R_3s6zPRuIThij9Ee","Day_1","1","True",7,4,39,0,4,1,0,4,1,"Conservative",54,2,1,"Day_1_1","FM",0
"84","R_3syUgK2rJa4iFJ5","Day_1","5","Coul",4,2,37,0,0,5,0,5,1,"Extremely Conservative",45,3,0,"Day_1_5","True",0
"85","R_55a06OFtpwOUIM1","Day_1","3","Coul",4,3,32,0,3,0,2,4,1,"Extremely Conservative",66,3,0,"Day_1_3","FM",0
"86","R_9poi1PMOfUlIOVH","Day_1","5","True",6,4,29,0,0,5,0,3,1,"Slightly Liberal",64,-1,1,"Day_1_5","True",0
"87","R_BxL0w0a4wPBU7K1","Day_1","3","Coul",3,2,39,0,3,0,2,4,2,"Moderate: Middle of the road",66,0,0,"Day_1_3","FM",0
"88","R_Ck0LOwrXY9BBpLz","Day_1","2","Misl",3,2,25,0,0,5,0,4,2,"Liberal",55,-2,0,"Day_1_2","True",0
"89","R_D34sAmKvq9ujWTf","Day_1","4","Coul",4,3,30,1,4,1,0,2,1,"Extremely Liberal",50,-3,0,"Day_1_4","FM",0
"90","R_d72CcNq6RUTok0N","Day_1","3","Misl",3,2,29,1,3,0,2,2,2,"Slightly Conservative",54,1,0,"Day_1_3","FM",0
"91","R_DIApoRkc5XHMSiJ","Day_1","4","Coul",4,2,32,0,4,1,0,4,2,"Moderate: Middle of the road",64,0,0,"Day_1_4","FM",0
"92","R_ehQbxaYKTXyU6zv","Day_1","2","Misl",6,2,31,1,0,5,0,4,1,"Conservative",63,2,0,"Day_1_2","True",0
"93","R_Oqj8QCrdc0N9E2d","Day_1","4","Misl",5,3,32,1,4,1,0,4,3,"Slightly Liberal",36,-1,0,"Day_1_4","FM",0
"94","R_poSOYUdgYWcWE0x","Day_1","3","Misl",6,3,29,1,3,0,2,5,1,"Liberal",59,-2,0,"Day_1_3","FM",0
"95","R_pueOnSUiOr8B6Vj","Day_1","5","True",7,4,28,1,0,5,0,4,1,"Extremely Liberal",64,-3,1,"Day_1_5","True",0
"96","R_Q0y3SadbOPnb3Ut","Day_1","5","True",6,3,66,1,0,5,0,3,2,"Liberal",60,-2,1,"Day_1_5","True",0
"97","R_qOYNC0Fk12NOQtr","Day_1","4","True",5,3,29,1,4,1,0,2,2,"Conservative",52,2,1,"Day_1_4","FM",0
"98","R_r3jqXmcEcqNve5H","Day_1","4","Misl",7,1,51,1,4,1,0,4,1,"Slightly Liberal",64,-1,0,"Day_1_4","FM",0
"99","R_rcdJVezxSblMALf","Day_1","5","True",6,4,56,1,0,5,0,4,2,"Conservative",52,2,1,"Day_1_5","True",0
"100","R_rcFF25UIWNrCLEB","Day_1","3","True",7,4,58,1,3,0,2,4,1,"Moderate: Middle of the road",61,0,1,"Day_1_3","FM",0
"101","R_s7HD2m3E9ynGNLH","Day_1","4","Misl",3,2,72,0,4,1,0,2,1,"Slightly Liberal",40,-1,0,"Day_1_4","FM",0
"102","R_sOqSRGdmizVRIYN","Day_1","5","True",7,4,38,0,0,5,0,2,2,"Slightly Liberal",62,-1,1,"Day_1_5","True",0
"103","R_SPmPHLfa1iJ2v97","Day_1","2","Coul",4,3,35,0,0,5,0,2,3,"Extremely Liberal",59,-3,0,"Day_1_2","True",0
"104","R_sSDb8askd89uHIZ","Day_1","2","True",6,4,28,0,0,5,0,2,1,"Slightly Liberal",50,-1,1,"Day_1_2","True",0
"105","R_T5ynVswOt2OjVRL","Day_1","4","True",5,3,43,0,4,1,0,3,2,"Moderate: Middle of the road",56,0,1,"Day_1_4","FM",0
"106","R_velIFfia1bfFV8l","Day_1","5","True",7,4,24,1,0,5,0,2,1,"Liberal",64,-2,1,"Day_1_5","True",0
"107","R_vOk3KIG6Brou7ol","Day_1","2","Coul",4,3,34,1,0,5,0,3,1,"Liberal",50,-2,0,"Day_1_2","True",0
"108","R_VWO7dQ95VxSmIyR","Day_1","3","True",5,3,53,0,3,0,2,5,2,"Slightly Conservative",51,1,1,"Day_1_3","FM",0
"109","R_yR7pnvolKnraNK9","Day_1","1","Misl",2,2,47,1,4,1,0,4,2,"Conservative",66,2,0,"Day_1_1","FM",0
"110","R_z5YqiZXOR1TESOJ","Day_1","2","Coul",3,2,48,1,0,5,0,2,1,"Liberal",47,-2,0,"Day_1_2","True",0
"111","R_10Mj3IzcEoeLtoI","Day_2","1","Coul",4,3,60,1,0,3,2,4,1,"Extremely Liberal",65,-3,0,"Day_2_1","True",0
"112","R_10uXS2VHPv8QwT0","Day_2","4","True",5,4,38,0,0,5,0,5,2,"Conservative",64,2,1,"Day_2_4","True",0
"113","R_12cpK6LbcDAh5cF","Day_2","3","Coul",3,2,49,0,0,5,0,3,1,"Extremely Liberal",53,-3,0,"Day_2_3","True",0
"114","R_1dgzNXQR5tFcX8U","Day_2","1","Misl",3,2,35,1,0,3,2,4,2,"Extremely Liberal",65,-3,0,"Day_2_1","True",0
"115","R_1DHa5wlyVrX9LkK","Day_2","5","True",7,4,42,1,0,5,0,5,1,"Extremely Liberal",60,-3,1,"Day_2_5","True",0
"116","R_1DIQAhF9WRKyiUP","Day_2","5","Coul",4,2,48,0,0,5,0,5,1,"Liberal",40,-2,0,"Day_2_5","True",0
"117","R_1DOKxc91QhuNuJS","Day_2","3","True",6,4,37,1,0,5,0,4,2,"Liberal",55,-2,1,"Day_2_3","True",0
"118","R_1DuH5NVkhuRtw3G","Day_2","3","Misl",3,2,35,0,0,5,0,6,1,"Liberal",49,-2,0,"Day_2_3","True",0
