"","ResponseId","Day","Article_Num","Category","Seven_Ordinal","Four_Ordinal","Age","Gender","FC_False","FC_True","FC_CND","Education_Score","Income_Score","Q_Ideology","Dig_Lit_Score","Ideology_Score","True_Dummy","Article_day","FC_Eval","Treatment"
"122","R_3FV8Lpk7xFqMu8Q","Day_2","2","True",4,3,24,0,1,2,2,4,3,"Liberal",57,-2,1,"Day_2_2","No Mode",1
"123","R_3g17B38hKlUkya7","Day_2","3","True",7,4,28,0,0,5,0,4,4,"Extremely Liberal",54,-3,1,"Day_2_3","True",1
"124","R_3Gq702q8P8g1Yav","Day_2","3","True",7,4,39,1,0,5,0,6,3,"Liberal",41,-2,1,"Day_2_3","True",1
"125","R_3gUTYLxEuI90E13","Day_2","3","True",6,3,68,0,0,5,0,3,2,"Conservative",62,2,1,"Day_2_3","True",1
"126","R_3gXeaHxIlFRKL2I","Day_2","3","True",5,4,35,0,0,5,0,4,2,"Conservative",44,2,1,"Day_2_3","True",1
"127","R_3JkNREhr4Z56QZF","Day_2","1","True",7,4,31,1,0,3,2,5,2,"Liberal",45,-2,1,"Day_2_1","True",1
"128","R_3JrRx2B1zmSMkYI","Day_2","5","True",7,4,30,0,0,5,0,4,1,"Extremely Liberal",61,-3,1,"Day_2_5","True",1
"129","R_3JwmmnQgQ4xMzQw","Day_2","1","Coul",4,2,20,1,0,3,2,2,1,"Liberal",55,-2,0,"Day_2_1","True",1
"130","R_3ptBIIvqyC9fR42","Day_2","4","True",7,4,20,1,0,5,0,3,2,"Liberal",62,-2,1,"Day_2_4","True",1
"131","R_3qKFKHrXpSzLTVI","Day_2","4","Misl",5,3,57,0,0,5,0,5,2,"Liberal",51,-2,0,"Day_2_4","True",1
"132","R_3qscA06TiUCJRuP","Day_2","1","True",6,4,48,1,0,3,2,4,4,"Moderate: Middle of the road",62,0,1,"Day_2_1","True",1
"133","R_3qxkIPXzm9CWRhr","Day_2","2","Misl",6,2,38,1,1,2,2,4,1,"Moderate: Middle of the road",62,0,0,"Day_2_2","No Mode",1
"134","R_6hPvdX2H4IbUXvj","Day_2","5","True",7,4,30,0,0,5,0,3,2,"Slightly Conservative",44,1,1,"Day_2_5","True",1
"135","R_6zmMGyHYE6H9bUd","Day_2","5","True",7,4,22,0,0,5,0,4,2,"Liberal",44,-2,1,"Day_2_5","True",1
"136","R_78srxiVkTEt8Lux","Day_2","1","Misl",1,2,28,0,0,3,2,4,2,"Extremely Liberal",56,-3,0,"Day_2_1","True",1
"137","R_7VvRdgve9lALveF","Day_2","2","Misl",2,2,20,1,1,2,2,4,2,"Conservative",62,2,0,"Day_2_2","No Mode",1
"138","R_863BQZAAAUhZso9","Day_2","5","True",5,3,22,1,0,5,0,4,4,"Slightly Conservative",51,1,1,"Day_2_5","True",1
"139","R_AhyL46oeQhXsWAx","Day_2","2","True",6,4,34,0,1,2,2,3,1,"Liberal",46,-2,1,"Day_2_2","No Mode",1
"140","R_bBdGI6D32vrfDz3","Day_2","2","Misl",3,2,32,0,1,2,2,5,2,"Moderate: Middle of the road",59,0,0,"Day_2_2","No Mode",1
"141","R_bI5ezUvCEfUQuVH","Day_2","3","True",6,4,42,0,0,5,0,4,4,"Liberal",59,-2,1,"Day_2_3","True",1
"142","R_bydQAreRP34wNmV","Day_2","3","True",6,4,23,0,0,5,0,2,1,"Liberal",36,-2,1,"Day_2_3","True",1
"143","R_cAVPeJBl4curp4d","Day_2","4","True",7,4,32,1,0,5,0,2,1,"Extremely Liberal",53,-3,1,"Day_2_4","True",1
"144","R_DMEbF8RcyyJ7ykV","Day_2","3","True",6,4,25,1,0,5,0,4,3,"Moderate: Middle of the road",59,0,1,"Day_2_3","True",1
"145","R_OwfSlNCTl1ROwiR","Day_2","5","True",7,4,32,0,0,5,0,3,2,"Slightly Liberal",60,-1,1,"Day_2_5","True",1
"146","R_oY8dEFKpyJFNh3b","Day_2","2","True",7,4,47,1,NA,NA,NA,5,2,"Liberal",48,-2,1,"Day_2_2",NA,1
"147","R_phI2ftquhtGEDo5","Day_2","2","True",6,3,23,1,1,2,2,2,1,"Extremely Liberal",55,-3,1,"Day_2_2","No Mode",1
"148","R_pPKhSSYvStNWvdL","Day_2","5","True",7,4,23,0,0,5,0,2,2,"Slightly Liberal",52,-1,1,"Day_2_5","True",1
"149","R_PtV0j4HIslIQEdH","Day_2","5","True",5,4,49,0,0,5,0,1,2,"Moderate: Middle of the road",46,0,1,"Day_2_5","True",1
"150","R_Q4iYkkwrOX18Shb","Day_2","2","True",6,4,27,1,1,2,2,3,2,"Extremely Liberal",44,-3,1,"Day_2_2","No Mode",1
"151","R_rfIAfCQFydsDjSF","Day_2","4","True",7,4,28,1,0,5,0,4,3,"Moderate: Middle of the road",54,0,1,"Day_2_4","True",1
"152","R_sGUpwBe9q12gHdv","Day_2","1","Misl",5,3,27,0,0,3,2,4,1,"Liberal",60,-2,0,"Day_2_1","True",1
"153","R_sMve3VFyjFuxtTP","Day_2","2","Coul",4,3,33,0,1,2,2,2,2,"Moderate: Middle of the road",56,0,0,"Day_2_2","No Mode",1
"154","R_szEuqpWuexrD6XT","Day_2","5","True",6,4,32,1,0,5,0,2,1,"Slightly Liberal",65,-1,1,"Day_2_5","True",1
"155","R_T621vcSQoDf2a1b","Day_2","1","True",7,4,22,1,0,3,2,4,3,"Extremely Liberal",53,-3,1,"Day_2_1","True",1
"156","R_tVuFcK9mMQnUZu9","Day_2","1","True",6,4,28,1,0,3,2,4,2,"Moderate: Middle of the road",44,0,1,"Day_2_1","True",1
"157","R_UEdaTkEStg9zqSZ","Day_2","3","True",6,4,30,0,0,5,0,4,3,"Extremely Liberal",61,-3,1,"Day_2_3","True",1
"158","R_UuwWzGnqMXeZSsV","Day_2","1","True",6,4,50,1,0,3,2,5,4,"Moderate: Middle of the road",59,0,1,"Day_2_1","True",1
"159","R_VUsnHtiM6FXWk7L","Day_2","4","True",5,4,22,0,0,5,0,4,2,"Liberal",47,-2,1,"Day_2_4","True",1
"160","R_WB6N6Nmfj9tv01X","Day_2","4","True",5,3,49,1,0,5,0,5,3,"Liberal",63,-2,1,"Day_2_4","True",1
"161","R_1DzZ42Igcf1hq7D","Day_3","1","True",7,4,41,0,1,4,0,2,1,"Extremely Liberal",60,-3,1,"Day_3_1","True",1
"162","R_1hXaEfZBa7Vgqn9","Day_3","3","True",7,4,40,1,0,5,0,2,1,"Slightly Liberal",66,-1,1,"Day_3_3","True",1
"163","R_1lB57zq2SO8keZB","Day_3","3","True",7,4,35,1,0,5,0,4,2,"Slightly Liberal",45,-1,1,"Day_3_3","True",1
"164","R_1Ln8lgc4Kg36DHg","Day_3","3","True",7,4,31,1,0,5,0,5,2,"Conservative",46,2,1,"Day_3_3","True",1
"165","R_1OoyRu1RWju84z6","Day_3","4","True",5,3,35,1,0,5,0,4,2,"Slightly Conservative",66,1,1,"Day_3_4","True",1
"166","R_1P1xnHJLWjnpKj4","Day_3","2","Misl",3,2,59,1,3,2,0,2,3,"Extremely Liberal",65,-3,0,"Day_3_2","FM",1
"167","R_1T9tY4IjGWTjwyt","Day_3","2","True",7,4,20,1,3,2,0,2,3,"Liberal",60,-2,1,"Day_3_2","FM",1
"168","R_22tUBvqGx2SODBQ","Day_3","4","True",7,4,30,0,0,5,0,4,1,"Extremely Liberal",66,-3,1,"Day_3_4","True",1
"169","R_26mpcGxdmDRlOz0","Day_3","2","True",7,4,31,0,3,2,0,4,2,"Liberal",57,-2,1,"Day_3_2","FM",1
"170","R_2AR8PmVgtHOgzit","Day_3","2","Misl",5,3,31,0,3,2,0,2,1,"Moderate: Middle of the road",58,0,0,"Day_3_2","FM",1
"171","R_2dNlBXLwfA9rHr5","Day_3","4","True",1,1,33,1,0,5,0,4,2,"Extremely Conservative",33,3,1,"Day_3_4","True",1
"172","R_2EFP7yiocTLEUy5","Day_3","5","True",7,4,20,1,0,5,0,2,1,"Extremely Liberal",56,-3,1,"Day_3_5","True",1
"173","R_2fILXd3ncJwfv5O","Day_3","3","True",7,4,28,1,0,5,0,5,2,"Moderate: Middle of the road",55,0,1,"Day_3_3","True",1
"174","R_2qwJq39YQiPoqee","Day_3","1","True",5,3,55,0,1,4,0,5,1,"Liberal",61,-2,1,"Day_3_1","True",1
"175","R_2rC4eGTqlyYOU5L","Day_3","1","True",6,3,31,1,1,4,0,4,2,"Slightly Conservative",42,1,1,"Day_3_1","True",1
"176","R_2rHN1aheJLz9CzH","Day_3","2","Misl",2,2,35,1,3,2,0,3,1,"Extremely Conservative",57,3,0,"Day_3_2","FM",1
"177","R_2SxFlTmlsuTOylL","Day_3","5","True",6,4,36,1,0,5,0,2,1,"Slightly Conservative",44,1,1,"Day_3_5","True",1
"178","R_2TSR400VM9S7XA7","Day_3","2","True",6,4,42,0,3,2,0,5,1,"Liberal",58,-2,1,"Day_3_2","FM",1
"179","R_2TXzTq6ZLKjj6uX","Day_3","5","True",7,4,33,1,0,5,0,4,2,"Extremely Conservative",66,3,1,"Day_3_5","True",1
