"","Article_day","True_Dummy","Likert_Evaluation","Age","Dig_Lit_Avg","Income_Score","CRT_Score","Familiar_Story","Education_Score","Duration","Ideology_Score","Gender","ResponseId","Treatment","Dummy_Ideology","Article_Lean","Dummy_Congruence","Susc_FN","Treat_Search"
"486","dec 19_1",1,7,47,5,3,2,"Yes",4,648,-2,0,"R_1oth7IELckwJTOa",1,"Liberal","Conservative",0,1,1
"487","dec 19_1",0,4,40,5,3,2,"Yes",2,1381,0,0,"R_2aR0xvcCOeAnttq",1,"Moderate","Conservative",0,0,1
"488","dec 19_1",0,4,22,3.2,2,3,"Not Sure",3,495,1,0,"R_2e8V7lFBsgfQrA9",1,"Conservative","Conservative",1,0,1
"489","dec 19_1",1,4,72,4.1,1,2,"Yes",3,1894,0,0,"R_aVnpjq6nhkceKxH",1,"Moderate","Conservative",0,1,1
"490","dec 19_1",0,7,67,3.8,1,1,"Yes",3,1028,0,1,"R_pz9wqDKcg0x3BRf",1,"Moderate","Conservative",0,0,1
"491","dec 19_1",1,7,73,3.2,0,1,"Not Sure",1,2242,0,0,"R_2fJKrNtgQFwUfPm",1,"Moderate","Conservative",0,1,1
"492","dec 19_1",0,5,34,3.7,0,0,"Yes",4,574,2,0,"R_2P04Yg8spJs4Pf5",1,"Conservative","Conservative",1,0,1
"493","dec 19_1",0,1,26,4.6,0,0,"No",3,827,0,1,"R_b2CGjXTeWLt1uvf",1,"Moderate","Conservative",0,0,1
"494","dec 19_1",1,7,62,3.8,1,0,"No",1,1657,0,1,"R_2rv9GRcLtUK7qbE",1,"Moderate","Conservative",0,1,1
"495","dec 19_1",1,6,31,4.3,0,3,"No",3,1010,-2,1,"R_3LYfNFSEDdzUTKz",1,"Liberal","Conservative",0,1,1
"496","dec 19_1",1,7,21,5,2,1,"Yes",3,1042,-1,0,"R_2urjjHxahr1y2T5",1,"Liberal","Conservative",0,1,1
"497","dec 19_1",0,1,34,3.6,1,1,"Yes",2,1068,1,0,"R_1IhORIyZyMtKfiu",1,"Conservative","Conservative",1,0,1
"498","dec 19_1",1,7,67,4.2,3,2,"No",5,1307,-3,0,"R_1d7gJDP2Bq3RHAG",1,"Liberal","Conservative",0,1,1
"499","dec 19_1",1,6,22,2.7,2,3,"Yes",1,1029,-1,1,"R_2s0IBfeXLpNNxCG",1,"Liberal","Conservative",0,1,1
"500","dec 19_1",1,6,19,3.4,2,2,"No",1,909,-1,1,"R_3rZfxiILRtxGHn8",1,"Liberal","Conservative",0,1,1
"501","dec 19_1",0,5,73,4.4,3,2,"Yes",5,1215,-2,0,"R_RkkbIrWd9pX1gEV",1,"Liberal","Conservative",0,0,1
"502","dec 19_1",0,4,69,1.7,1,2,"Not Sure",5,2589,3,0,"R_2R3QwJB5c04wAyT",1,"Conservative","Conservative",1,0,1
"503","dec 19_1",1,7,69,5,1,2,"No",2,1880,0,0,"R_3KPcOOAvaXneoNv",1,"Moderate","Conservative",0,1,1
"504","dec 19_1",1,6,32,3.7,1,1,"No",3,709,2,0,"R_3J8bx1niPKTC5mY",1,"Conservative","Conservative",1,1,1
"505","dec 19_1",1,7,49,4.9,0,1,"Yes",3,1535,-3,1,"R_2CqdmtgWlXkt9nf",1,"Liberal","Conservative",0,1,1
"506","dec 19_1",0,4,36,2.8,3,0,"No",3,679,3,1,"R_1gzM48QRppur1qd",1,"Conservative","Conservative",1,0,1
"507","dec 19_1",0,1,37,4.4,1,0,"No",3,1071,-2,1,"R_3kvJaZqhSc5TCBS",1,"Liberal","Conservative",0,0,1
"508","dec 19_1",0,3,43,2.6,1,1,"No",4,477,-3,1,"R_2R7ZOKsBkjkZmLm",1,"Liberal","Conservative",0,0,1
"509","dec 19_1",1,7,40,3.5,1,2,"Yes",3,750,-2,1,"R_C317TssYWQIsvxn",1,"Liberal","Conservative",0,1,1
"510","dec 19_1",1,6,40,3.5,1,2,"Yes",3,750,-2,1,"R_C317TssYWQIsvxn",0,"Liberal","Conservative",0,1,0
"511","dec 19_1",1,5,40,5,3,2,"Yes",2,1381,0,0,"R_2aR0xvcCOeAnttq",0,"Moderate","Conservative",0,1,0
"512","dec 19_1",0,5,22,3.2,2,3,"Not Sure",3,495,1,0,"R_2e8V7lFBsgfQrA9",0,"Conservative","Conservative",1,0,0
"513","dec 19_1",1,5,72,4.1,1,2,"Yes",3,1894,0,0,"R_aVnpjq6nhkceKxH",0,"Moderate","Conservative",0,1,0
"514","dec 19_1",1,7,36,3.9,0,1,"No",3,610,0,1,"R_1DOrp3nEt6G8nG9",1,"Moderate","Conservative",0,1,1
"516","dec 19_1",1,7,45,3.7,0,2,"Yes",1,13863,2,1,"R_w5bIhf5RJ2RsBgd",1,"Conservative","Conservative",1,1,1
"517","dec 19_1",1,5,35,4.2,1,2,"No",4,845,-2,1,"R_1NlXcCU8chZyoby",1,"Liberal","Conservative",0,1,1
"520","dec 19_1",1,5,64,4.3,1,1,"Yes",2,722,1,1,"R_WoodEihCC3pav6x",0,"Conservative","Conservative",1,1,0
"521","dec 19_1",1,5,64,2.8,3,4,"Yes",4,1161,1,1,"R_2OVd5duKOuaIAzc",0,"Conservative","Conservative",1,1,0
"522","dec 19_1",0,4,52,2.6,1,1,"Yes",1,1723,3,1,"R_1j6Ac1QPLcRx5Qf",0,"Conservative","Conservative",1,0,0
"523","dec 19_1",1,7,47,5,3,2,"Yes",4,648,-2,0,"R_1oth7IELckwJTOa",0,"Liberal","Conservative",0,1,0
"524","dec 19_1",1,7,21,5,2,1,"Yes",3,1042,-1,0,"R_2urjjHxahr1y2T5",0,"Liberal","Conservative",0,1,0
"525","dec 19_1",1,6,34,3.6,1,1,"Yes",2,1068,1,0,"R_1IhORIyZyMtKfiu",0,"Conservative","Conservative",1,1,0
"526","dec 19_1",1,7,67,4.2,3,2,"No",5,1307,-3,0,"R_1d7gJDP2Bq3RHAG",0,"Liberal","Conservative",0,1,0
"527","dec 19_1",0,7,67,3.8,1,1,"Yes",3,1028,0,1,"R_pz9wqDKcg0x3BRf",0,"Moderate","Conservative",0,0,0
"528","dec 19_1",1,5,73,3.2,0,1,"Not Sure",1,2242,0,0,"R_2fJKrNtgQFwUfPm",0,"Moderate","Conservative",0,1,0
"529","dec 19_1",0,5,73,4.4,3,2,"Yes",5,1215,-2,0,"R_RkkbIrWd9pX1gEV",0,"Liberal","Conservative",0,0,0
"530","dec 19_1",1,4,69,1.7,1,2,"Not Sure",5,2589,3,0,"R_2R3QwJB5c04wAyT",0,"Conservative","Conservative",1,1,0
"531","dec 19_1",1,7,69,5,1,2,"No",2,1880,0,0,"R_3KPcOOAvaXneoNv",0,"Moderate","Conservative",0,1,0
"532","dec 19_1",0,5,32,3.7,1,1,"No",3,709,2,0,"R_3J8bx1niPKTC5mY",0,"Conservative","Conservative",1,0,0
"533","dec 19_1",0,6,34,3.7,0,0,"Yes",4,574,2,0,"R_2P04Yg8spJs4Pf5",0,"Conservative","Conservative",1,0,0
"534","dec 19_1",0,1,26,4.6,0,0,"No",3,827,0,1,"R_b2CGjXTeWLt1uvf",0,"Moderate","Conservative",0,0,0
"535","dec 19_1",0,4,62,3.8,1,0,"No",1,1657,0,1,"R_2rv9GRcLtUK7qbE",0,"Moderate","Conservative",0,0,0
"536","dec 19_1",1,6,31,4.3,0,3,"No",3,1010,-2,1,"R_3LYfNFSEDdzUTKz",0,"Liberal","Conservative",0,1,0
"537","dec 19_1",0,4,19,3.4,2,2,"No",1,909,-1,1,"R_3rZfxiILRtxGHn8",0,"Liberal","Conservative",0,0,0
"538","dec 19_1",0,4,36,3.9,0,1,"No",3,610,0,1,"R_1DOrp3nEt6G8nG9",0,"Moderate","Conservative",0,0,0
"540","dec 19_1",1,4,22,2.7,2,3,"Yes",1,1029,-1,1,"R_2s0IBfeXLpNNxCG",0,"Liberal","Conservative",0,1,0
"541","dec 19_1",1,5,35,4.2,1,2,"No",4,845,-2,1,"R_1NlXcCU8chZyoby",0,"Liberal","Conservative",0,1,0
"542","dec 19_1",1,7,49,4.9,0,1,"Yes",3,1535,-3,1,"R_2CqdmtgWlXkt9nf",0,"Liberal","Conservative",0,1,0
"543","dec 19_1",0,5,36,2.8,3,0,"No",3,679,3,1,"R_1gzM48QRppur1qd",0,"Conservative","Conservative",1,0,0
"544","dec 19_1",1,7,45,3.7,0,2,"Yes",1,13863,2,1,"R_w5bIhf5RJ2RsBgd",0,"Conservative","Conservative",1,1,0
"545","dec 19_1",0,1,43,2.6,1,1,"No",4,477,-3,1,"R_2R7ZOKsBkjkZmLm",0,"Liberal","Conservative",0,0,0
"546","dec 19_1",1,7,37,4.4,1,0,"No",3,1071,-2,1,"R_3kvJaZqhSc5TCBS",0,"Liberal","Conservative",0,1,0
"547","dec 2_3",1,6,47,4.1,1,2,"No",2,1541,0,1,"R_3erhLcRFB8NxX0b",1,"Moderate","Neutral",0,1,1
"548","dec 2_3",1,6,47,4.1,1,2,"No",2,1541,0,1,"R_3erhLcRFB8NxX0b",0,"Moderate","Neutral",0,1,0
"549","dec 2_3",0,3,31,4.3,0,2,"No",3,1828,-3,1,"R_3EzggMK6JEWLXQK",1,"Liberal","Neutral",0,0,1
"550","dec 2_3",1,5,59,3.8,0,4,"No",3,1762,2,1,"R_3nAHmL37uKIgqbB",1,"Conservative","Neutral",0,1,1
"551","dec 2_3",1,6,61,3.8,2,0,"No",2,1095,3,1,"R_1r9v2n186b0c8go",1,"Conservative","Neutral",0,1,1
"552","dec 2_3",1,6,47,4,2,3,"Yes",4,1834,-3,0,"R_3OfhBBvsX8L8cF0",1,"Liberal","Neutral",0,1,1
"553","dec 2_3",0,4,73,2.1,1,1,"No",1,1944,3,0,"R_sSj2dxqEHTZXVnz",1,"Conservative","Neutral",0,0,1
"554","dec 2_3",1,7,24,3.6,1,1,"No",3,521,0,0,"R_10rBPUzci4IZljz",1,"Moderate","Neutral",0,1,1
"555","dec 2_3",1,6,27,4.6,1,1,"No",5,854,-1,0,"R_1mf0jQbPJNCti3p",1,"Liberal","Neutral",0,1,1
"556","dec 2_3",0,4,67,4.6,0,2,"No",1,685,-2,0,"R_1oiKsYk7r1aRnxA",1,"Liberal","Neutral",0,0,1
"557","dec 2_3",0,4,69,2.3,0,2,"No",1,3430,2,0,"R_2UVNPCZ6P36Qcy2",1,"Conservative","Neutral",0,0,1
"558","dec 2_3",1,5,18,3.1,1,3,"No",1,483,-1,0,"R_1daYZu7QsReTG43",1,"Liberal","Neutral",0,1,1
"559","dec 2_3",1,6,41,5,1,0,"No",5,523,0,0,"R_2D5HkJFwxzncmJu",1,"Moderate","Neutral",0,1,1
"560","dec 2_3",1,5,29,3.3,0,4,"No",1,1044,-2,0,"R_vf8eJJtWcfcOZ0J",1,"Liberal","Neutral",0,1,1
"561","dec 2_3",0,1,50,5,1,2,"No",4,1410,-2,0,"R_ZfNRm2QHkRoROox",1,"Liberal","Neutral",0,0,1
"562","dec 2_3",0,3,24,3.7,0,0,"No",1,643,2,0,"R_3lyvmuLHoeWAQLj",1,"Conservative","Neutral",0,0,1
"563","dec 2_3",0,1,26,4.5,1,1,"No",3,924,-2,1,"R_12sC3Tz8L4sPVaE",1,"Liberal","Neutral",0,0,1
"564","dec 2_3",0,3,53,1.9,3,2,"No",2,788,2,1,"R_3iPCte3s68kEPva",1,"Conservative","Neutral",0,0,1
"565","dec 2_3",1,6,32,3.2,1,2,"No",3,640,-2,1,"R_2qxtDUgrQ13NL7M",1,"Liberal","Neutral",0,1,1
"566","dec 2_3",0,4,26,3.6,0,0,"No",2,961,-2,1,"R_2wtPqYUkG6kz2jk",1,"Liberal","Neutral",0,0,1
"567","dec 2_3",0,4,63,5,2,1,"No",3,1102,0,1,"R_1dskVYrIPBisxJm",1,"Moderate","Neutral",0,0,1
"568","dec 2_3",0,4,74,4.1,1,2,"No",1,1438,0,1,"R_0vWOybNrvRkQtrP",1,"Moderate","Neutral",0,0,1
"569","dec 2_3",0,4,60,1.9,2,0,"No",3,1333,3,1,"R_2CZKzopZI3FOGZ0",1,"Conservative","Neutral",0,0,1
"570","dec 2_3",0,3,72,3.8,1,2,"No",4,1355,-3,1,"R_1QL4tCCm8nBcT5p",1,"Liberal","Neutral",0,0,1
"571","dec 2_3",0,5,71,4.1,1,3,"No",5,1555,0,0,"R_UrvusI52f4oXx4d",1,"Moderate","Neutral",0,0,1
"572","dec 2_3",1,7,63,3.2,0,1,"No",1,1172,2,1,"R_2EFDpCuedixJ5CO",1,"Conservative","Neutral",0,1,1
"573","dec 2_3",0,3,36,3.7,1,3,"No",3,2123,0,1,"R_aXnI966o2c3a5XP",1,"Moderate","Neutral",0,0,1
"574","dec 2_3",0,4,42,3,1,4,"No",3,1421,1,1,"R_3O8HTF94pft0V8D",1,"Conservative","Neutral",0,0,1
"575","dec 2_3",0,1,41,3,0,0,"No",3,7187,3,1,"R_2EyOcOkGx62jjT9",1,"Conservative","Neutral",0,0,1
"576","dec 2_3",1,3,39,3.6,0,1,"No",3,758,1,1,"R_1FyPxsVmje0QuuM",1,"Conservative","Neutral",0,1,1
"577","dec 2_3",0,3,44,3.2,1,1,"No",3,802,1,1,"R_3Dim2rwqYAfSuE1",1,"Conservative","Neutral",0,0,1
"578","dec 2_3",1,6,61,3.8,2,0,"No",2,1095,3,1,"R_1r9v2n186b0c8go",0,"Conservative","Neutral",0,1,0
"579","dec 2_3",1,6,47,4,2,3,"Yes",4,1834,-3,0,"R_3OfhBBvsX8L8cF0",0,"Liberal","Neutral",0,1,0
"580","dec 2_3",0,4,73,2.1,1,1,"No",1,1944,3,0,"R_sSj2dxqEHTZXVnz",0,"Conservative","Neutral",0,0,0
"581","dec 2_3",1,7,24,3.6,1,1,"No",3,521,0,0,"R_10rBPUzci4IZljz",0,"Moderate","Neutral",0,1,0
"582","dec 2_3",0,5,27,4.6,1,1,"No",5,854,-1,0,"R_1mf0jQbPJNCti3p",0,"Liberal","Neutral",0,0,0
"583","dec 2_3",1,7,67,4.6,0,2,"No",1,685,-2,0,"R_1oiKsYk7r1aRnxA",0,"Liberal","Neutral",0,1,0
"584","dec 2_3",0,2,69,2.3,0,2,"No",1,3430,2,0,"R_2UVNPCZ6P36Qcy2",0,"Conservative","Neutral",0,0,0
"585","dec 2_3",1,6,18,3.1,1,3,"No",1,483,-1,0,"R_1daYZu7QsReTG43",0,"Liberal","Neutral",0,1,0
"586","dec 2_3",1,7,41,5,1,0,"No",5,523,0,0,"R_2D5HkJFwxzncmJu",0,"Moderate","Neutral",0,1,0
"587","dec 2_3",1,3,29,3.3,0,4,"No",1,1044,-2,0,"R_vf8eJJtWcfcOZ0J",0,"Liberal","Neutral",0,1,0
"588","dec 2_3",0,1,50,5,1,2,"No",4,1410,-2,0,"R_ZfNRm2QHkRoROox",0,"Liberal","Neutral",0,0,0
"589","dec 2_3",0,3,31,4.3,0,2,"No",3,1828,-3,1,"R_3EzggMK6JEWLXQK",0,"Liberal","Neutral",0,0,0
"590","dec 2_3",0,4,59,3.8,0,4,"No",3,1762,2,1,"R_3nAHmL37uKIgqbB",0,"Conservative","Neutral",0,0,0
"591","dec 2_3",0,2,53,1.9,3,2,"No",2,788,2,1,"R_3iPCte3s68kEPva",0,"Conservative","Neutral",0,0,0
"592","dec 2_3",1,6,32,3.2,1,2,"No",3,640,-2,1,"R_2qxtDUgrQ13NL7M",0,"Liberal","Neutral",0,1,0
"593","dec 2_3",0,4,26,3.6,0,0,"No",2,961,-2,1,"R_2wtPqYUkG6kz2jk",0,"Liberal","Neutral",0,0,0
"594","dec 2_3",0,4,63,5,2,1,"No",3,1102,0,1,"R_1dskVYrIPBisxJm",0,"Moderate","Neutral",0,0,0
"595","dec 2_3",1,5,74,4.1,1,2,"No",1,1438,0,1,"R_0vWOybNrvRkQtrP",0,"Moderate","Neutral",0,1,0
"596","dec 2_3",0,4,60,1.9,2,0,"No",3,1333,3,1,"R_2CZKzopZI3FOGZ0",0,"Conservative","Neutral",0,0,0
"597","dec 2_3",0,4,72,3.8,1,2,"No",4,1355,-3,1,"R_1QL4tCCm8nBcT5p",0,"Liberal","Neutral",0,0,0
"598","dec 2_3",0,6,71,4.1,1,3,"No",5,1555,0,0,"R_UrvusI52f4oXx4d",0,"Moderate","Neutral",0,0,0
"599","dec 2_3",1,6,63,3.2,0,1,"No",1,1172,2,1,"R_2EFDpCuedixJ5CO",0,"Conservative","Neutral",0,1,0
"600","dec 2_3",0,4,36,3.7,1,3,"No",3,2123,0,1,"R_aXnI966o2c3a5XP",0,"Moderate","Neutral",0,0,0
"601","dec 2_3",0,4,42,3,1,4,"No",3,1421,1,1,"R_3O8HTF94pft0V8D",0,"Conservative","Neutral",0,0,0
"602","dec 2_3",1,3,24,3.7,0,0,"No",1,643,2,0,"R_3lyvmuLHoeWAQLj",0,"Conservative","Neutral",0,1,0
"603","dec 2_3",0,2,26,4.5,1,1,"No",3,924,-2,1,"R_12sC3Tz8L4sPVaE",0,"Liberal","Neutral",0,0,0
"604","dec 2_3",0,1,44,3.2,1,1,"No",3,802,1,1,"R_3Dim2rwqYAfSuE1",0,"Conservative","Neutral",0,0,0
"605","dec 2_3",0,1,41,3,0,0,"No",3,7187,3,1,"R_2EyOcOkGx62jjT9",0,"Conservative","Neutral",0,0,0
"606","dec 2_3",1,6,39,3.6,0,1,"No",3,758,1,1,"R_1FyPxsVmje0QuuM",0,"Conservative","Neutral",0,1,0
"607","dec 3_1",0,4,50,4.6,1,3,"No",2,1473,-3,0,"R_2YnRjybeHGYh82N",1,"Liberal","Neutral",0,0,1
"608","dec 3_1",1,6,26,4.3,1,1,"No",3,702,0,0,"R_2SCB3Ufqa2ahF7X",1,"Moderate","Neutral",0,1,1
"609","dec 3_1",0,2,36,4.3,0,1,"No",1,1038,1,0,"R_CfaeIflTBk5Luwx",1,"Conservative","Neutral",0,0,1
"610","dec 3_1",0,4,52,3.8,2,2,"No",4,1181,-2,1,"R_2sZILVrKxGdj810",1,"Liberal","Neutral",0,0,1
"611","dec 3_1",1,6,65,4.3,0,2,"Not Sure",3,3968,3,1,"R_1Qlt1Ji5MCMXM6f",1,"Conservative","Neutral",0,1,1
"612","dec 3_1",1,5,46,4.4,0,1,"No",2,1991,0,0,"R_2xWvJyjVUjhPnCA",1,"Moderate","Neutral",0,1,1
"613","dec 3_1",0,4,76,3.6,0,3,"No",3,1895,3,0,"R_2rGU7JAYbpsl36s",1,"Conservative","Neutral",0,0,1
"614","dec 3_1",1,6,75,3.5,3,3,"Yes",4,1278,0,0,"R_z3gumDqy14jBAFH",1,"Moderate","Neutral",0,1,1
"615","dec 3_1",0,4,59,4.5,3,1,"No",1,1548,2,0,"R_1mkr4JgcG64bAIO",1,"Conservative","Neutral",0,0,1
"616","dec 3_1",0,2,37,5,1,3,"No",3,2150,0,0,"R_3Hi55KhCpESzJhY",1,"Moderate","Neutral",0,0,1
"617","dec 3_1",0,4,18,4.9,0,3,"No",1,628,0,0,"R_3DqfcjLYlx2DdJO",1,"Moderate","Neutral",0,0,1
"618","dec 3_1",1,7,50,5,0,2,"No",2,961,2,0,"R_3rIMgs1GE7rvXG9",1,"Conservative","Neutral",0,1,1
"619","dec 3_1",0,5,42,5,0,0,"No",1,1200,3,0,"R_1eQpupfGNnrGSDV",1,"Conservative","Neutral",0,0,1
"620","dec 3_1",0,2,73,4.5,1,0,"No",4,1851,2,0,"R_1j7Xm9MZwx98Swc",1,"Conservative","Neutral",0,0,1
"621","dec 3_1",0,4,66,1.2,0,0,"No",1,738,1,1,"R_1OWiwfNPvtFaJiy",1,"Conservative","Neutral",0,0,1
"622","dec 3_1",0,3,24,3.9,0,2,"No",1,980,-2,1,"R_2qsW8CMa4SgVkMS",1,"Liberal","Neutral",0,0,1
"623","dec 3_1",1,7,57,4.2,0,0,"Not Sure",1,1039,0,1,"R_1CwssJb30RSEGv1",1,"Moderate","Neutral",0,1,1
"625","dec 3_1",0,5,40,3.7,3,1,"No",4,2275,0,0,"R_1Nea5uB2mxT3y3N",1,"Moderate","Neutral",0,0,1
"626","dec 3_1",0,4,63,4,1,3,"No",1,1184,-2,1,"R_6DtuCfxxiIbfw53",1,"Liberal","Neutral",0,0,1
"627","dec 3_1",0,4,20,4.2,0,2,"No",1,838,-2,1,"R_3dFiwaBE3NQnXDg",1,"Liberal","Neutral",0,0,1
"628","dec 3_1",0,4,47,3.3,1,3,"No",3,1224,0,0,"R_2PdGaPqwUqZ8g06",1,"Moderate","Neutral",0,0,1
"629","dec 3_1",1,5,32,4.3,1,2,"No",2,1629,-1,1,"R_3TQHTJC2jECFMk1",1,"Liberal","Neutral",0,1,1
"630","dec 3_1",0,3,57,3,1,2,"No",2,2209,0,1,"R_3g5z4wlUcTXpLx6",1,"Moderate","Neutral",0,0,1
"631","dec 3_1",1,6,35,4.3,2,1,"No",3,1610,3,0,"R_2SBjsbyZaV0CGcZ",1,"Conservative","Neutral",0,1,1
"632","dec 3_1",0,4,24,3,3,0,"Yes",4,3540,-3,1,"R_3m2bPaZAmJMfWQG",1,"Liberal","Neutral",0,0,1
"633","dec 3_1",1,7,30,3.8,0,1,"No",4,1544,-2,0,"R_2Pj5s6ZpyilYSGE",1,"Liberal","Neutral",0,1,1
"634","dec 3_1",1,5,30,3.9,0,2,"No",1,1551,0,0,"R_2aOBA0JRlKtv2c0",1,"Moderate","Neutral",0,1,1
"635","dec 3_1",0,2,29,3.8,1,3,"No",3,1124,1,1,"R_31XacfeTgkNYKhc",1,"Conservative","Neutral",0,0,1
"636","dec 3_1",0,3,45,3.1,1,1,"Yes",4,1120,0,1,"R_3k6DfJQzUFWIZQn",1,"Moderate","Neutral",0,0,1
"637","dec 3_1",0,3,52,3.8,2,2,"No",4,1181,-2,1,"R_2sZILVrKxGdj810",0,"Liberal","Neutral",0,0,0
"638","dec 3_1",0,4,65,4.3,0,2,"Not Sure",3,3968,3,1,"R_1Qlt1Ji5MCMXM6f",0,"Conservative","Neutral",0,0,0
"639","dec 3_1",0,3,46,4.4,0,1,"No",2,1991,0,0,"R_2xWvJyjVUjhPnCA",0,"Moderate","Neutral",0,0,0
"640","dec 3_1",1,6,76,3.6,0,3,"No",3,1895,3,0,"R_2rGU7JAYbpsl36s",0,"Conservative","Neutral",0,1,0
"641","dec 3_1",1,6,75,3.5,3,3,"Yes",4,1278,0,0,"R_z3gumDqy14jBAFH",0,"Moderate","Neutral",0,1,0
"642","dec 3_1",0,4,59,4.5,3,1,"No",1,1548,2,0,"R_1mkr4JgcG64bAIO",0,"Conservative","Neutral",0,0,0
"643","dec 3_1",0,3,37,5,1,3,"No",3,2150,0,0,"R_3Hi55KhCpESzJhY",0,"Moderate","Neutral",0,0,0
"644","dec 3_1",0,4,18,4.9,0,3,"No",1,628,0,0,"R_3DqfcjLYlx2DdJO",0,"Moderate","Neutral",0,0,0
"645","dec 3_1",1,7,50,5,0,2,"No",2,961,2,0,"R_3rIMgs1GE7rvXG9",0,"Conservative","Neutral",0,1,0
"646","dec 3_1",0,1,42,5,0,0,"No",1,1200,3,0,"R_1eQpupfGNnrGSDV",0,"Conservative","Neutral",0,0,0
"647","dec 3_1",0,4,50,4.6,1,3,"No",2,1473,-3,0,"R_2YnRjybeHGYh82N",0,"Liberal","Neutral",0,0,0
"648","dec 3_1",1,6,26,4.3,1,1,"No",3,702,0,0,"R_2SCB3Ufqa2ahF7X",0,"Moderate","Neutral",0,1,0
"649","dec 3_1",1,6,36,4.3,0,1,"No",1,1038,1,0,"R_CfaeIflTBk5Luwx",0,"Conservative","Neutral",0,1,0
"650","dec 3_1",0,4,57,4.2,0,0,"Not Sure",1,1039,0,1,"R_1CwssJb30RSEGv1",0,"Moderate","Neutral",0,0,0
"652","dec 3_1",0,4,40,3.7,3,1,"No",4,2275,0,0,"R_1Nea5uB2mxT3y3N",0,"Moderate","Neutral",0,0,0
"653","dec 3_1",0,4,63,4,1,3,"No",1,1184,-2,1,"R_6DtuCfxxiIbfw53",0,"Liberal","Neutral",0,0,0
"654","dec 3_1",0,2,20,4.2,0,2,"No",1,838,-2,1,"R_3dFiwaBE3NQnXDg",0,"Liberal","Neutral",0,0,0
"655","dec 3_1",0,4,47,3.3,1,3,"No",3,1224,0,0,"R_2PdGaPqwUqZ8g06",0,"Moderate","Neutral",0,0,0
"656","dec 3_1",0,4,32,4.3,1,2,"No",2,1629,-1,1,"R_3TQHTJC2jECFMk1",0,"Liberal","Neutral",0,0,0
"657","dec 3_1",0,1,57,3,1,2,"No",2,2209,0,1,"R_3g5z4wlUcTXpLx6",0,"Moderate","Neutral",0,0,0
"658","dec 3_1",1,6,35,4.3,2,1,"No",3,1610,3,0,"R_2SBjsbyZaV0CGcZ",0,"Conservative","Neutral",0,1,0
"659","dec 3_1",1,6,24,3,3,0,"Yes",4,3540,-3,1,"R_3m2bPaZAmJMfWQG",0,"Liberal","Neutral",0,1,0
"660","dec 3_1",0,4,73,4.5,1,0,"No",4,1851,2,0,"R_1j7Xm9MZwx98Swc",0,"Conservative","Neutral",0,0,0
"661","dec 3_1",0,4,66,1.2,0,0,"No",1,738,1,1,"R_1OWiwfNPvtFaJiy",0,"Conservative","Neutral",0,0,0
"662","dec 3_1",0,4,24,3.9,0,2,"No",1,980,-2,1,"R_2qsW8CMa4SgVkMS",0,"Liberal","Neutral",0,0,0
"663","dec 3_1",0,3,45,3.1,1,1,"Yes",4,1120,0,1,"R_3k6DfJQzUFWIZQn",0,"Moderate","Neutral",0,0,0
"664","dec 3_1",1,6,30,3.8,0,1,"No",4,1544,-2,0,"R_2Pj5s6ZpyilYSGE",0,"Liberal","Neutral",0,1,0
"665","dec 3_1",0,5,30,3.9,0,2,"No",1,1551,0,0,"R_2aOBA0JRlKtv2c0",0,"Moderate","Neutral",0,0,0
"666","dec 3_1",0,4,29,3.8,1,3,"No",3,1124,1,1,"R_31XacfeTgkNYKhc",0,"Conservative","Neutral",0,0,0
"667","dec 3_2",0,4,18,3.7,0,3,"No",1,897,-2,0,"R_3032gjgHKR5VDbK",1,"Liberal","Liberal",1,0,1
"668","dec 3_2",0,4,47,3.7,0,2,"No",1,1464,3,1,"R_3MMBP2OKPG6bSOq",1,"Conservative","Liberal",0,0,1
"669","dec 3_2",1,5,58,3.7,1,0,"No",3,3119,-2,1,"R_1oA0gXA8uowYAqP",1,"Liberal","Liberal",1,1,1
"670","dec 3_2",1,4,18,3.8,0,2,"No",1,865,-3,0,"R_pn4VHOVxJpsO2vn",1,"Liberal","Liberal",1,1,1
"671","dec 3_2",1,4,18,3.4,3,2,"No",1,668,2,0,"R_9G0AU9qpm9GgpcB",1,"Conservative","Liberal",0,1,1
"672","dec 3_2",1,5,37,3.5,1,2,"No",4,1047,-2,0,"R_3HTaQkp8WbZxiSV",1,"Liberal","Liberal",1,1,1
"673","dec 3_2",1,5,36,4.1,0,2,"Not Sure",3,729,-1,0,"R_1hMTVCnWuKigfju",1,"Liberal","Liberal",1,1,1
"674","dec 3_2",0,1,49,5,0,4,"No",2,1454,3,0,"R_3fpjLxHgSiMOGFH",1,"Conservative","Liberal",0,0,1
"675","dec 3_2",0,4,53,2.8,0,1,"No",2,591,0,0,"R_OcFfXUjeHOz60wN",1,"Moderate","Liberal",0,0,1
"676","dec 3_2",0,2,38,4.6,0,3,"Yes",1,2576,2,0,"R_31u4YnAXRnOk4a4",1,"Conservative","Liberal",0,0,1
"677","dec 3_2",0,4,22,3.5,2,1,"No",2,505,3,1,"R_3PEUU2wKxHRoxSi",1,"Conservative","Liberal",0,0,1
"678","dec 3_2",1,6,72,3.6,1,2,"Yes",3,1176,0,0,"R_3RxCHDNyVvnFWrN",1,"Moderate","Liberal",0,1,1
"679","dec 3_2",1,2,55,2.6,0,0,"No",1,1291,2,1,"R_PA0mZxpASjzWevT",1,"Conservative","Liberal",0,1,1
