"","Article_day","True_Dummy","Likert_Evaluation","Age","Dig_Lit_Avg","Income_Score","CRT_Score","Familiar_Story","Education_Score","Duration","Ideology_Score","Gender","ResponseId","Treatment","Dummy_Ideology","Article_Lean","Dummy_Congruence","Susc_FN","Treat_Search"
"59","dec 10_1",0,3,30,4.2,0,2,"Yes",3,812,1,1,"R_1j7zzyvr6IvOohI",1,"Conservative","Conservative",1,0,1
"60","dec 10_1",0,1,68,3.8,0,0,"Yes",3,2507,1,1,"R_eRnxW6hgDXi6gbT",1,"Conservative","Conservative",1,0,1
"61","dec 10_1",1,7,71,3.8,0,3,"Yes",3,3015,2,1,"R_5gLq4Vbup8soGat",1,"Conservative","Conservative",1,1,1
"62","dec 10_1",1,7,71,3.8,0,3,"Yes",3,3015,2,1,"R_5gLq4Vbup8soGat",0,"Conservative","Conservative",1,1,0
"63","dec 10_1",0,1,68,3.8,0,0,"Yes",3,2507,1,1,"R_eRnxW6hgDXi6gbT",0,"Conservative","Conservative",1,0,0
"64","dec 10_1",0,2,28,3.8,0,3,"No",3,1439,2,1,"R_3qwLpeZQiz1Rma4",0,"Conservative","Conservative",1,0,0
"65","dec 10_1",1,6,57,4.6,1,1,"No",3,749,3,1,"R_7URXEBxjBqWsekx",0,"Conservative","Conservative",1,1,0
"66","dec 10_1",0,4,30,4.2,0,2,"Yes",3,812,1,1,"R_1j7zzyvr6IvOohI",0,"Conservative","Conservative",1,0,0
"67","dec 10_2",0,1,55,3.6,1,1,"Not Sure",2,574,0,1,"R_2yjcRyivWmis2g1",0,"Moderate","Neutral",0,0,0
"69","dec 10_2",0,3,24,4.4,1,4,"Yes",3,487,2,1,"R_2hlGHQ5GXrL95m1",0,"Conservative","Neutral",0,0,0
"70","dec 10_2",1,4,50,4.3,2,1,"Yes",4,2286,2,0,"R_1djdnoZdUvxZ3Li",0,"Conservative","Neutral",0,1,0
"71","dec 10_2",0,2,30,4.5,2,0,"No",3,882,-2,0,"R_3jdjyLa6azFjUaK",0,"Liberal","Neutral",0,0,0
"72","dec 10_2",0,5,24,4,1,3,"No",1,1247,-1,0,"R_3ZPo94gfZl057i1",0,"Liberal","Neutral",0,0,0
"73","dec 10_2",0,4,36,2.4,1,2,"No",2,1412,0,1,"R_2wysbE4vfnMqEIS",0,"Moderate","Neutral",0,0,0
"74","dec 10_2",1,7,53,4.1,0,1,"No",2,1157,-2,1,"R_QmKSpY3Jhcp26Q1",0,"Liberal","Neutral",0,1,0
"75","dec 10_2",0,2,53,4.9,1,0,"Yes",2,1966,0,1,"R_2Pdn8YvU1nFe9H8",0,"Moderate","Neutral",0,0,0
"76","dec 10_2",0,3,29,4.2,1,1,"Yes",3,3320,0,0,"R_2Csrq3jwVKCPtwu",0,"Moderate","Neutral",0,0,0
"77","dec 10_2",0,4,49,3.9,2,0,"Yes",1,1425,1,1,"R_1K8VDFUzDq0ro6i",0,"Conservative","Neutral",0,0,0
"78","dec 10_2",0,1,19,3.2,0,3,"No",1,2251,-2,1,"R_3nkIzwhN9uNkpXx",0,"Liberal","Neutral",0,0,0
"79","dec 10_2",1,7,44,4.7,2,1,"No",4,2887,-2,1,"R_3OrBH662l78IuLv",0,"Liberal","Neutral",0,1,0
"80","dec 10_2",0,5,72,3.1,0,0,"Yes",1,1666,0,0,"R_3jfjZ8ynUJ0ruTH",0,"Moderate","Neutral",0,0,0
"81","dec 10_2",1,4,23,3.6,1,2,"No",3,586,1,0,"R_3phRH67l2fnvQRX",0,"Conservative","Neutral",0,1,0
"82","dec 10_2",1,4,45,4.6,0,0,"Yes",1,1275,-1,0,"R_24uvWWNaA2nZNhS",0,"Liberal","Neutral",0,1,0
"83","dec 10_2",0,5,22,4.4,1,2,"No",3,527,0,0,"R_12ifcBqcj0Jy5y4",0,"Moderate","Neutral",0,0,0
"84","dec 10_2",0,4,22,4.4,1,2,"No",3,527,0,0,"R_12ifcBqcj0Jy5y4",1,"Moderate","Neutral",0,0,1
"85","dec 10_2",0,4,24,4.4,1,4,"Yes",3,487,2,1,"R_2hlGHQ5GXrL95m1",1,"Conservative","Neutral",0,0,1
"86","dec 10_2",0,5,55,3.6,1,1,"Not Sure",2,574,0,1,"R_2yjcRyivWmis2g1",1,"Moderate","Neutral",0,0,1
"88","dec 10_2",1,5,36,2.4,1,2,"No",2,1412,0,1,"R_2wysbE4vfnMqEIS",1,"Moderate","Neutral",0,1,1
"89","dec 10_2",0,4,53,4.1,0,1,"No",2,1157,-2,1,"R_QmKSpY3Jhcp26Q1",1,"Liberal","Neutral",0,0,1
"90","dec 10_2",0,1,53,4.9,1,0,"Yes",2,1966,0,1,"R_2Pdn8YvU1nFe9H8",1,"Moderate","Neutral",0,0,1
"91","dec 10_2",0,4,29,4.2,1,1,"Yes",3,3320,0,0,"R_2Csrq3jwVKCPtwu",1,"Moderate","Neutral",0,0,1
