"","T_Dummy","Ordinal_4","Ordinal_7","Treatment_1","Treatment_2","Treatment_3","Age","Ideo_Congruence","Education_Score","Q_Gender","Income_Score","Article_day","ResponseId","Article_Num","Final_FC"
"221",1,4,7,1,0,0,57,0,3,1,0,"Day1_1","R_1eqJL8m8a0b2INq","1","True"
"222",0,3,5,0,1,0,37,0,1,0,1,"Day1_1","R_2qwSfnJEMQ1lmJC","1","True"
"223",1,3,6,0,1,0,36,0,3,1,1,"Day1_1","R_2fHtF1874NFywb0","1","True"
"224",0,3,4,0,0,0,72,0,1,0,0,"Day1_1","R_2bKqbfc09vKZVIu","1","True"
"225",0,3,4,0,1,0,50,0,1,0,1,"Day1_1","R_1juYNxATFeE12Es","1","True"
"226",1,3,5,1,0,0,42,0,2,0,1,"Day1_1","R_3g0YOPzHmuVWdIC","1","True"
"227",0,3,4,1,0,0,35,0,3,0,1,"Day1_1","R_24kl5UHZk6vQuOA","1","True"
"228",0,3,4,1,0,0,72,0,4,0,1,"Day1_1","R_1mksmPH7XReZ5RB","1","True"
"229",0,3,4,1,0,0,42,0,1,0,0,"Day1_1","R_2EsLtywAVEO2mXw","1","True"
"230",0,2,3,0,0,1,25,0,2,0,0,"Day1_1","R_4NMgabirSOmZb4B","1","True"
"231",0,2,2,0,0,0,77,0,3,0,2,"Day1_1","R_2UVlKMZA7iI1OdS","1","True"
"232",0,2,4,0,1,0,49,0,3,0,1,"Day1_1","R_rlth79hOSqyjzWx","1","True"
"233",0,2,4,0,0,0,70,0,1,1,2,"Day1_1","R_3NDNFVoCEdsrTCS","1","True"
"234",0,3,4,1,0,0,80,0,3,1,1,"Day1_1","R_2YQH5UQHm17Bpu0","1","True"
"235",0,2,2,0,0,0,60,0,3,0,3,"Day1_1","R_1gIsGkK8gIoD2Y4","1","True"
"236",0,1,1,1,0,0,79,0,2,1,2,"Day1_1","R_2BtbkJvn71FIxOq","1","True"
"237",0,2,1,1,0,0,88,0,3,0,0,"Day1_1","R_1j6ulKBNJPyTkdu","1","True"
"238",0,3,4,0,1,0,38,0,1,0,0,"Day1_1","R_tDmGI0QWg2XuQWB","1","True"
"239",0,1,1,0,1,0,48,0,1,0,0,"Day1_1","R_3lLkcwJRnec72VI","1","True"
"240",0,3,4,0,0,1,68,0,2,0,0,"Day1_1","R_1BQNCgGko2K6VCv","1","True"
